scenario,scenario_label,T_factor,S_factor,n_members,mean_combined_streamflow_change_cfs,mean_additive_expected_streamflow_change_cfs,mean_streamflow_interaction_effect_cfs,mean_abs_streamflow_interaction_effect_cfs,max_abs_streamflow_interaction_effect_cfs,mean_combined_depletion_change_cfs,mean_additive_expected_depletion_change_cfs,mean_depletion_interaction_effect_cfs,mean_abs_depletion_interaction_effect_cfs,max_abs_depletion_interaction_effect_cfs
Thigh_Shigh,"T +10%, S +10%",1.1,1.1,296,-2.41548522925203e-16,-0.006152090872662307,0.006152090872662066,0.006152090872662066,0.0073899243996677355,2.306713378866457e-16,0.006152090872662326,-0.006152090872662094,0.006152090872662094,0.007389924399667291
Thigh_Slow,"T +10%, S -10%",1.1,0.9,296,-0.35678949497320184,-0.3501563240795053,-0.006633170893696504,0.006633170893696503,0.007904232724636917,0.3567894949732019,0.3501563240795053,0.006633170893696525,0.006633170893696525,0.007904232724636029
Tlow_Shigh,"T -10%, S +10%",0.9,1.1,296,0.329570924631372,0.33648859186817354,-0.006917667236801539,0.006917667236801541,0.008303790988016091,-0.32957092463137205,-0.3364885918681735,0.0069176672368014775,0.006917667236801479,0.008303790988016146
Tlow_Slow,"T -10%, S -10%",0.9,0.9,296,-1.800361661554308e-16,-0.007515641338669488,0.007515641338669308,0.007515641338669308,0.009030424111798219,1.8191154288621654e-16,0.0075156413386695126,-0.00751564133866933,0.00751564133866933,0.00903042411179869
baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
