scenario,scenario_label,T_factor,S_factor,n_members,mean_pumping_objective_cfs,mean_depletion_cfs,min_depletion_cfs,max_depletion_cfs,mean_streamflow_cfs,min_streamflow_cfs,max_streamflow_cfs,mean_depletion_change_from_baseline_cfs,mean_streamflow_change_from_baseline_cfs,mean_absolute_streamflow_error_cfs,max_absolute_streamflow_error_cfs,mean_streamflow_shortfall_below_baseline_cfs,max_streamflow_shortfall_below_baseline_cfs
Thigh_Shigh,"T +10%, S +10%",1.1,1.1,296,32.554952002064624,2.748920518057788,0.8110833649714817,4.782582221327708,5.851079481942212,3.817417778672292,7.788916635028518,2.306713378866457e-16,-2.41548522925203e-16,1.4207854112432746e-15,5.329070518200751e-15,8.311669670842389e-16,4.440892098500626e-15
Thigh_Slow,"T +10%, S -10%",1.1,0.9,296,32.554952002064624,3.1057100130309894,0.9660445246527362,5.284561448193069,5.494289986969011,3.3154385518069303,7.633955475347263,0.3567894949732019,-0.35678949497320184,0.35678949497320184,0.5019792268653607,0.35678949497320184,0.5019792268653607
Tlow_Shigh,"T -10%, S +10%",0.9,1.1,296,32.554952002064624,2.4193495934264155,0.6738685447998286,4.304726348976048,6.1806504065735846,4.295273651023952,7.926131455200171,-0.32957092463137205,0.329570924631372,0.329570924631372,0.47785587235166105,0.0,0.0
Tlow_Slow,"T -10%, S -10%",0.9,0.9,296,32.554952002064624,2.748920518057788,0.8110833649714815,4.782582221327705,5.851079481942212,3.8174177786722954,7.788916635028518,1.8191154288621654e-16,-1.800361661554308e-16,1.50030138462859e-15,5.329070518200751e-15,8.401687753920104e-16,5.329070518200751e-15
baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,296,32.554952002064624,2.7489205180577874,0.8110833649714815,4.782582221327709,5.851079481942212,3.817417778672291,7.788916635028518,0.0,0.0,0.0,0.0,0.0,0.0
