member,scenario,scenario_label,T_factor,S_factor,T_only_scenario,S_only_scenario,pumping_objective_reeval_cfs,combined_streamflow_change_cfs,T_only_streamflow_change_cfs,S_only_streamflow_change_cfs,additive_expected_streamflow_change_cfs,streamflow_interaction_effect_cfs,combined_depletion_change_cfs,T_only_depletion_change_cfs,S_only_depletion_change_cfs,additive_expected_depletion_change_cfs,depletion_interaction_effect_cfs
gen=46_member=7840_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,27.838357196260656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=36_member=6076_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.07165394641189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6576_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,24.57679423226629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7833_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.273822445456965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=36_member=6039_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.236759922666806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=45_member=7630_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,20.273425248681576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=7002_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.456010064777686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7416_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,22.53949283051267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8130_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.29664546331896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7150_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,23.018345966531463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7861_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.57795625745423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8013_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,24.18988587830649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=34_member=5833_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.05546674905064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=29_member=4835_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.16289112554577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7309_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,28.362383210764136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7162_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.265693983561704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7394_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.69937939750987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7994_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,27.707961235794844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8212_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,25.50891213870453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=34_member=5718_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,19.217975104740983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=40_member=6749_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.03382245921868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=45_member=7712_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.96441941761888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=49_member=8286_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.88574680923485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7987_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.3379503115816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7104_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.1305477391165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7536_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,23.46684587614881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=38_member=6480_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.40713306593588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7269_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.83339971387087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=35_member=5948_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.07384621264411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=29_member=4871_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,17.843497187733753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=36_member=6031_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.338390787551678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6689_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.416418185838467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7811_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.84800808580873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=36_member=6150_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.51027094900253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=28_member=4698_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,19.62453473077234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=45_member=7580_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.41977376399195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=37_member=6318_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.35850397821222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6634_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.24656995207669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7788_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.533172613400616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7881_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,27.192862415219388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=27_member=4566_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.20265674649548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6698_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.52015097310551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6986_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.767651554973604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6973_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.15947657236159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=27_member=4568_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.558684654753776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=37_member=6357_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.62572860768373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8006_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.761407828424296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6898_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.489447863162184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6668_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.933030846740984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8200_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.89080581472363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=32_member=5452_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.84753054005696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7522_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.16311565476033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=45_member=7699_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,25.671464649350018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=38_member=6478_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.27857906393331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8105_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.55273076856624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7995_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.49744644974915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=38_member=6507_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.243072285057984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8017_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,26.33332130996634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=28_member=4806_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.335363024535646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=33_member=5559_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.1440689013816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=28_member=4728_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,25.063855919912235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=30_member=4999_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.98794532305361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7949_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.06896850977157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=37_member=6216_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.76111558406628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=35_member=5892_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.6250096550061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7933_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,26.49956968298791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7127_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.183068642146345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7815_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.209600453547942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6988_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,27.935094147883344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6630_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.28667995166453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=46_member=7750_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.35737322320111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8066_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.14526258672567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=49_member=8375_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.01442462041577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8129_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.63353389800296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6585_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.78292178056862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8011_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.12122980345115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=40_member=6726_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,31.242517549639818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7543_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.18705597340057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7287_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.64656535247972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6982_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.278668778733376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=33_member=5577_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.00137781832889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8183_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.70587203703935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8234_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,23.781937390842728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7080_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.21819334968434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=8007_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.13470291303967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=35_member=5961_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.87726444522587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=31_member=5281_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.11569694121411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7417_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,28.04007293817745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=32_member=5429_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.21459753522952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=37_member=6347_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.66303769617801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7094_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.72396444274264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=45_member=7577_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.348578128286576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=38_member=6402_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.51186014513365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=31_member=5196_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.154036317385696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6995_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,33.05810757863159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6611_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.89623286365389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=49_member=8310_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.43676948862573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6917_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.7026693264571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7156_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.610510708305725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=29_member=4898_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,35.92717187396659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7961_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.81846706326812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=31_member=5213_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,34.37459988167344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=33_member=5529_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,18.32982475749499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6902_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.628353465378915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7373_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,30.566917442941545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=43_member=7354_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.365559376347385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
