risk_aversion,selected_member,selected_member_label,selected_pumping_cfs,selected_probability_below_threshold,selected_expected_shortfall_cfs,selected_risk_adjusted_score
0.0,152,member_152,39.0854414587126,1.0,2.1882412823915085,39.0854414587126
0.5,152,member_152,39.0854414587126,1.0,2.1882412823915085,37.99132081751685
1.0,152,member_152,39.0854414587126,1.0,2.1882412823915085,36.89720017632109
2.0,152,member_152,39.0854414587126,1.0,2.1882412823915085,34.708958893929584
