member,member_label,pumping_objective_reeval_cfs,expected_shortfall_cfs,probability_below_threshold,risk_aversion,risk_adjusted_score
gen=41_member=6902_pso,gen=41_member=6902_pso,29.628353465378915,0.0,0.0,0.0,29.628353465378915
gen=43_member=7394_pso,gen=43_member=7394_pso,29.69937939750987,0.0,0.0,0.0,29.69937939750987
gen=44_member=7479_pso,gen=44_member=7479_pso,29.72699292855369,0.0,0.0,0.0,29.72699292855369
gen=37_member=6202_pso,gen=37_member=6202_pso,29.76557254860932,0.0,0.0,0.0,29.76557254860932
gen=41_member=6892_pso,gen=41_member=6892_pso,29.76585730134148,0.0,0.0,0.0,29.76585730134148
gen=42_member=7112_pso,gen=42_member=7112_pso,29.954952265185444,0.0,0.0,0.0,29.954952265185444
gen=49_member=8327_pso,gen=49_member=8327_pso,30.10695679161178,0.0,0.0,0.0,30.10695679161178
gen=46_member=7815_pso,gen=46_member=7815_pso,30.209600453547942,0.0,0.0,0.0,30.209600453547942
gen=46_member=7833_pso,gen=46_member=7833_pso,30.273822445456965,0.0,0.0,0.0,30.273822445456965
gen=48_member=8130_pso,gen=48_member=8130_pso,30.29664546331896,0.0,0.0,0.0,30.29664546331896
gen=49_member=8310_pso,gen=49_member=8310_pso,30.43676948862573,0.0,0.0,0.0,30.43676948862573
gen=38_member=6402_pso,gen=38_member=6402_pso,30.51186014513365,0.0,0.0,0.0,30.51186014513365
gen=43_member=7373_pso,gen=43_member=7373_pso,30.566917442941545,0.0,0.0,0.0,30.566917442941545
gen=42_member=7156_pso,gen=42_member=7156_pso,30.610510708305725,0.0,0.0,0.0,30.610510708305725
gen=41_member=6917_pso,gen=41_member=6917_pso,30.7026693264571,0.0,0.0,0.0,30.7026693264571
gen=47_member=7988_pso,gen=47_member=7988_pso,30.769795007202468,0.0,0.0,0.0,30.769795007202468
gen=46_member=7811_pso,gen=46_member=7811_pso,30.84800808580873,0.0,0.0,0.0,30.84800808580873
gen=34_member=5765_pso,gen=34_member=5765_pso,30.92338623359191,3.953308228417406e-05,0.002969016743950404,0.0,30.92338623359191
gen=39_member=6557_pso,gen=39_member=6557_pso,30.95190437561837,4.556877775935939e-05,0.002969016743950404,0.0,30.95190437561837
gen=46_member=7821_pso,gen=46_member=7821_pso,31.019254054929405,7.883079286535062e-05,0.002969016743950404,0.0,31.019254054929405
gen=47_member=7949_pso,gen=47_member=7949_pso,31.06896850977157,9.073047946092643e-05,0.002969016743950404,0.0,31.06896850977157
gen=29_member=4835_pso,gen=29_member=4835_pso,31.16289112554577,0.00019786184039841405,0.002969016743950404,0.0,31.16289112554577
gen=40_member=6726_pso,gen=40_member=6726_pso,31.242517549639818,0.0002462333296620041,0.002969016743950404,0.0,31.242517549639818
gen=36_member=6031_pso,gen=36_member=6031_pso,31.33839078755168,0.0003127983345306755,0.002969016743950404,0.0,31.33839078755168
gen=38_member=6480_pso,gen=38_member=6480_pso,31.40713306593588,0.00039444382890947797,0.002969016743950404,0.0,31.40713306593588
gen=41_member=7002_pso,gen=41_member=7002_pso,31.456010064777686,0.00042949315482773703,0.002969016743950404,0.0,31.456010064777686
gen=41_member=6898_pso,gen=41_member=6898_pso,31.489447863162184,0.0009297027651446729,0.016275226634964023,0.0,31.489447863162184
gen=27_member=4602_pso,gen=27_member=4602_pso,31.534063129350688,0.00108820401041497,0.016275226634964023,0.0,31.534063129350688
gen=50_member=8596_pso,gen=50_member=8596_pso,31.656131000200023,0.0012079198350876757,0.016275226634964023,0.0,31.656131000200023
gen=38_member=6443_pso,gen=38_member=6443_pso,31.67115470758055,0.0014765608608725994,0.02958143652597764,0.0,31.67115470758055
gen=41_member=6951_pso,gen=41_member=6951_pso,31.788273688982024,0.0019844452072045795,0.02958143652597764,0.0,31.788273688982024
gen=42_member=7137_pso,gen=42_member=7137_pso,31.79987010539568,0.0022016240551427325,0.02958143652597764,0.0,31.79987010539568
gen=49_member=8286_pso,gen=49_member=8286_pso,31.88574680923485,0.0027844815286834994,0.02958143652597764,0.0,31.88574680923485
gen=45_member=7712_pso,gen=45_member=7712_pso,31.96441941761888,0.0034839437176097856,0.02958143652597764,0.0,31.96441941761888
gen=40_member=6749_pso,gen=40_member=6749_pso,32.03382245921868,0.004159921536489347,0.02958143652597764,0.0,32.03382245921868
gen=41_member=6922_pso,gen=41_member=6922_pso,32.11592080418332,0.004922861634280453,0.05151966780569227,0.0,32.11592080418332
gen=50_member=8483_pso,gen=50_member=8483_pso,32.12450543561306,0.00526446949391972,0.05151966780569227,0.0,32.12450543561306
gen=33_member=5559_pso,gen=33_member=5559_pso,32.1440689013816,0.0071125937638135284,0.11115396324187245,0.0,32.1440689013816
