metric,value
n_members,174.0
mean_probability_weighted_absolute_streamflow_error_cfs,0.11496114854318117
max_probability_weighted_absolute_streamflow_error_cfs,0.18085651684824533
mean_probability_weighted_streamflow_shortfall_cfs,0.055357128235088295
max_probability_weighted_streamflow_shortfall_cfs,0.08657377685953795
mean_streamflow_std_cfs,0.1431657561236483
max_streamflow_std_cfs,0.22528417671670947
mean_probability_streamflow_lower_than_baseline,0.4180163961616488
mean_probability_streamflow_below_threshold,
