member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_factor__T_minus_10pct,T_value__T_minus_10pct,depletion_cfs__T_minus_10pct,streamflow_cfs__T_minus_10pct,ag_receipts_reeval__T_minus_10pct,fish_prob_reeval__T_minus_10pct,T_factor__baseline_T,T_value__baseline_T,depletion_cfs__baseline_T,streamflow_cfs__baseline_T,ag_receipts_reeval__baseline_T,fish_prob_reeval__baseline_T,T_factor__T_plus_10pct,T_value__T_plus_10pct,depletion_cfs__T_plus_10pct,streamflow_cfs__T_plus_10pct,ag_receipts_reeval__T_plus_10pct,fish_prob_reeval__T_plus_10pct
gen=46_member=5774_pso,50,113.69864725552864,113.69864725552864,0.9,1530.0,3.591170219917376,5.008829780082624,12198824.129546277,0.6393128461742914,1.0,1700.0,3.8008169185953444,4.799183081404655,12198824.129546277,0.6234579458355287,1.1,1870.0000000000002,3.996535335926126,4.603464664073874,12198824.129546277,0.608514642801179
gen=37_member=4723_pso,50,106.8511723206405,104.51778202732396,0.9,1530.0,1.903988769478621,6.696011230521378,11316939.89607805,0.7108569597520005,1.0,1700.0,2.034749716728347,6.565250283271652,11316939.89607805,0.7081493738333254,1.1,1870.0000000000002,2.157924787323256,6.442075212676744,11316939.89607805,0.7049706209831864
gen=45_member=5711_pso,50,100.17642906394414,98.88330928345108,0.9,1530.0,1.56856564293954,7.031434357060459,10701015.255649135,0.7175178277439623,1.0,1700.0,1.677969569941643,6.922030430058356,10701015.255649135,0.7155369992812936,1.1,1870.0000000000002,1.7817040696211628,6.818295930378837,10701015.255649135,0.7133890332675825
gen=29_member=3643_pso,50,104.2103519446892,102.35342522480737,0.9,1530.0,1.767839495759514,6.832160504240486,11063367.898928545,0.7136761184084124,1.0,1700.0,1.8928564245507165,6.707143575449283,11063367.898928545,0.7110874703211161,1.1,1870.0000000000002,2.0104460182556028,6.589553981744396,11063367.898928545,0.7086526154596717
gen=28_member=3493_pso,50,112.70825437281928,111.98587538795978,0.9,1530.0,2.907319189567583,5.6926808104324165,12010002.111146484,0.6770979164422938,1.0,1700.0,3.090806842299113,5.509193157700887,12010002.111146484,0.6687843192866332,1.1,1870.0000000000002,3.2627429162770727,5.3372570837229265,12010002.111146484,0.6587408083388157
gen=39_member=4935_pso,50,106.3801681691645,103.94532287253078,0.9,1530.0,1.8913658813510754,6.7086341186489244,11281519.05267382,0.71111833407565,1.0,1700.0,2.0213117755318537,6.578688224468146,11281519.05267382,0.7084276249558883,1.1,1870.0000000000002,2.143474874181802,6.456525125818198,11281519.05267382,0.7054265478287676
gen=44_member=5540_pso,50,114.53935053258057,114.24014400405802,0.9,1530.0,3.9755948187690247,4.6244051812309745,12269791.265440106,0.61011347288494,1.0,1700.0,4.19770134372307,4.40229865627693,12269791.265440106,0.5915726667187243,1.1,1870.0000000000002,4.404296078177204,4.195703921822796,12269791.265440106,0.5724521487451125
gen=42_member=5321_pso,50,112.74271276140006,111.78601953470147,0.9,1530.0,2.8559192629302386,5.744080737069761,11999286.1007488,0.6794267831400362,1.0,1700.0,3.0375429553571123,5.562457044642887,11999286.1007488,0.6711976397056825,1.1,1870.0000000000002,3.207760297911359,5.392239702088641,11999286.1007488,0.6619932791823648
gen=39_member=4882_pso,50,102.04861038689992,99.8747179039148,0.9,1530.0,1.6193798398545118,6.980620160145488,10775264.386121174,0.7167501805215604,1.0,1700.0,1.7311642872531274,6.868835712746872,10775264.386121174,0.7144355292279647,1.1,1870.0000000000002,1.8368682441419808,6.763131755858019,10775264.386121174,0.7122467828840437
gen=39_member=4970_pso,50,112.550902105522,111.96893622141724,0.9,1530.0,2.94644385374508,5.653556146254919,12038325.731098836,0.675325226607419,1.0,1700.0,3.133476939671035,5.4665230603289645,12038325.731098836,0.6663874761853259,1.1,1870.0000000000002,3.3087113606401584,5.291288639359841,12038325.731098836,0.6560215667046726
