scenario,T_index,T_sigma_offset,T_factor,T_value,probability_weight,member,generation,ag_receipts_archive_baseline,fish_prob_archive_baseline,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_gpm,raw_total_pumping_cfs,effective_total_pumping_gpm,effective_total_pumping_cfs,depletion_obs_name,depletion_cfs,streamflow_cfs,baseline_T_depletion_cfs,baseline_T_streamflow_cfs,baseline_T_ag_receipts,baseline_T_fish_prob,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,streamflow_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs,streamflow_below_threshold
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,gen=47_member=5907_pso,50,9738960.0,0.719193,9738959.963789836,0.7213941836946208,42427.949226186,94.52947087594241,41736.54912774984,92.98903145662663,lpr:total_combined:bdpl,1.2359680273670353,7.364031972632964,1.4248247829017298,7.175175217098269,9738959.963789836,0.7191930975356632,-0.1888567555346945,0.18885675553469472,-0.18885675553469472,0.18885675553469472,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,56,50,12446400.0,0.533346,12446397.913772527,0.5847866045675107,52637.1528415432,117.27557653095823,52637.1528415432,117.27557653095823,lpr:total_combined:bdpl,4.271023871389635,4.328976128610365,4.797320436941502,3.802679563058498,12446397.913772527,0.5333455781375429,-0.526296565551867,0.526296565551867,-0.526296565551867,0.526296565551867,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,64,50,12377800.0,0.56755,12377834.289729021,0.6117066699929685,52241.56295681393,116.39420226778142,52241.56295681393,116.39420226778142,lpr:total_combined:bdpl,3.9547280789483468,4.645271921051653,4.457265265351177,4.142734734648823,12377834.289729021,0.5675498055267164,-0.5025371864028303,0.5025371864028303,-0.5025371864028303,0.5025371864028303,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,gen=40_member=5105_pso,50,12283000.0,0.583854,12283049.42442162,0.6227093921521031,51868.902507044404,115.56391478569493,51444.95457882824,114.61935880162932,lpr:total_combined:bdpl,3.810621025617094,4.789378974382906,4.281098096426855,4.318901903573145,12283049.42442162,0.5838542264921289,-0.470477070809761,0.4704770708097614,-0.4704770708097614,0.4704770708097614,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,30,50,12433400.0,0.544694,12433371.76921002,0.5935049203179575,52187.23403515008,116.27315743031438,52187.23403515008,116.27315743031438,lpr:total_combined:bdpl,4.176823592409923,4.423176407590077,4.690661650408188,3.9093383495918115,12433371.76921002,0.544693593079314,-0.5138380579982655,0.5138380579982655,-0.5138380579982655,0.5138380579982655,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,gen=36_member=4531_pso,50,12223600.0,0.605591,12223597.44766552,0.639725882004857,51053.0244471527,113.7461384682562,51053.0244471527,113.7461384682562,lpr:total_combined:bdpl,3.584187900156263,5.015812099843737,4.034825511414584,4.5651744885854155,12223597.44766552,0.6055911484087455,-0.45063761125832125,0.4506376112583217,-0.4506376112583217,0.4506376112583217,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,105,50,12417100.0,0.55506,12417148.746273495,0.6021844843912174,52327.1463926199,116.58488216275714,52327.1463926199,116.58488216275714,lpr:total_combined:bdpl,4.079443952756214,4.520556047243786,4.592213724831247,4.007786275168753,12417148.746273495,0.5550602110952924,-0.5127697720750328,0.5127697720750328,-0.5127697720750328,0.5127697720750328,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,gen=49_member=6222_pso,50,12218800.0,0.616332,12218818.301128551,0.647515554349865,51106.17822286103,113.86456508053438,51106.17822286103,113.86456508053438,lpr:total_combined:bdpl,3.4525044501450237,5.147495549854976,3.894152647480776,4.705847352519223,12218818.301128551,0.6163316666652364,-0.44164819733575245,0.4416481973357529,-0.4416481973357529,0.4416481973357529,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,18,50,12390900.0,0.557388,12390900.705456987,0.60378151171345,52187.6001459564,116.27397312519085,52187.6001459564,116.27397312519085,lpr:total_combined:bdpl,4.058527047087977,4.541472952912023,4.567060185710294,4.032939814289706,12390900.705456987,0.5573881924842319,-0.5085331386223171,0.5085331386223171,-0.5085331386223171,0.5085331386223171,0.0,False
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,35,50,12440100.0,0.533609,12440134.96511929,0.5852700481311252,52700.025782036595,117.41565744237754,52700.025782036595,117.41565744237754,lpr:total_combined:bdpl,4.265800325940379,4.3341996740596205,4.794840629166368,3.805159370833632,12440134.96511929,0.5336094185261279,-0.5290403032259885,0.5290403032259885,-0.5290403032259885,0.5290403032259885,0.0,False
