scenario,T_factor,T_value,probability_weight,member,generation,ag_receipts_archive_baseline,fish_prob_archive_baseline,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_gpm,raw_total_pumping_cfs,effective_total_pumping_gpm,effective_total_pumping_cfs,depletion_obs_name,depletion_cfs,streamflow_cfs
T_minus_10pct,0.9,1530.0,,gen=47_member=5907_pso,50,9738960.0,0.719193,9738959.963789836,0.7202631249129149,42427.949226186,94.52947087594241,41736.54912774984,92.98903145662663,lpr:total_combined:bdpl,1.333014701783983,7.266985298216016
T_minus_10pct,0.9,1530.0,,56,50,12446400.0,0.533346,12446397.913772527,0.5594810123987208,52637.1528415432,117.27557653095823,52637.1528415432,117.27557653095823,lpr:total_combined:bdpl,4.544447536037786,4.055552463962214
T_minus_10pct,0.9,1530.0,,64,50,12377800.0,0.56755,12377834.289729021,0.5899025809897285,52241.56295681393,116.39420226778142,52241.56295681393,116.39420226778142,lpr:total_combined:bdpl,4.215746404959052,4.384253595040947
T_minus_10pct,0.9,1530.0,,gen=40_member=5105_pso,50,12283000.0,0.583854,12283049.42442162,0.6040414898615462,51868.902507044404,115.56391478569493,51444.95457882824,114.61935880162932,lpr:total_combined:bdpl,4.055122009288167,4.544877990711833
T_minus_10pct,0.9,1530.0,,30,50,12433400.0,0.544694,12433371.76921002,0.5687464194932684,52187.23403515008,116.27315743031438,52187.23403515008,116.27315743031438,lpr:total_combined:bdpl,4.4443360055369245,4.155663994463075
T_minus_10pct,0.9,1530.0,,gen=36_member=4531_pso,50,12223600.0,0.605591,12223597.44766552,0.6221145359459419,51053.0244471527,113.7461384682562,51053.0244471527,113.7461384682562,lpr:total_combined:bdpl,3.8184120952983847,4.781587904701615
T_minus_10pct,0.9,1530.0,,105,50,12417100.0,0.55506,12417148.746273495,0.5778697812845662,52327.1463926199,116.58488216275714,52327.1463926199,116.58488216275714,lpr:total_combined:bdpl,4.345759256245747,4.254240743754252
T_minus_10pct,0.9,1530.0,,gen=49_member=6222_pso,50,12218800.0,0.616332,12218818.301128551,0.6325549388089301,51106.17822286103,113.86456508053438,51106.17822286103,113.86456508053438,lpr:total_combined:bdpl,3.6816699627228275,4.9183300372771726
T_minus_10pct,0.9,1530.0,,18,50,12390900.0,0.557388,12390900.705456987,0.5799883880434225,52187.6001459564,116.27397312519085,52187.6001459564,116.27397312519085,lpr:total_combined:bdpl,4.322867983040561,4.277132016959438
T_minus_10pct,0.9,1530.0,,35,50,12440100.0,0.533609,12440134.96511929,0.5598292197166824,52700.025782036595,117.41565744237754,52700.025782036595,117.41565744237754,lpr:total_combined:bdpl,4.540685200807719,4.059314799192281
T_minus_10pct,0.9,1530.0,,gen=44_member=5567_pso,50,9875600.0,0.719021,9875603.379483644,0.7201142863656199,42989.08731889699,95.7796865465025,42069.119675814705,93.72999863771516,lpr:total_combined:bdpl,1.345785290080232,7.254214709919768
T_minus_10pct,0.9,1530.0,,gen=49_member=6144_pso,50,9757770.0,0.719034,9757774.55799681,0.7201127619202415,42132.10114850491,93.87032135886894,41805.01359125954,93.14157028132627,lpr:total_combined:bdpl,1.3459160899614546,7.2540839100385455
