member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=48_member=8113_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.525243612154491,4.074756387845508,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8218_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.31757142919641,4.28242857080359,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7058_pso,50,storage_zminus_1p20,,,0.88,0.1056,17.825114,17.82511697626178,96.4376461762618,0.864582,0.9728795524143934,7.6271204475856065,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8245_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.87897,36.87888641911074,115.49141561911075,4.17121,4.462802840613584,4.137197159386416,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6922_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.1159516,32.11592080418332,110.72845000418332,2.24821,2.448313728786561,6.151686271213439,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6885_pso,50,storage_zminus_1p20,,,0.88,0.1056,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.9298092155336386,7.670190784466361,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=37_member=6262_pso,50,storage_zminus_1p20,,,0.88,0.1056,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.3850363953277582,7.214963604672241,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6554_pso,50,storage_zminus_1p20,,,0.88,0.1056,22.91498,22.91493475179726,101.52746395179726,1.07599,1.2082342898143148,7.391765710185685,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7409_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.0261612,29.02617500954204,107.638704209542,1.61819,1.78145090178345,6.8185490982165495,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=33_member=5597_pso,50,storage_zminus_1p20,,,0.88,0.1056,20.425457360000003,20.42544700516081,99.03797620516082,0.993719,1.112114343497175,7.487885656502825,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=35_member=5926_pso,50,storage_zminus_1p20,,,0.88,0.1056,28.7585784,28.75848621927199,107.371015419272,1.60584,1.768729193236202,6.831270806763797,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7147_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.785394,36.78548226240043,115.39801146240043,4.12536,4.4152900475348345,4.184709952465165,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7992_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.3031812,37.30318347661641,115.91571267661642,4.41535,4.715203909641464,3.884796090358536,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7479_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.72709,29.726992928553692,108.3395221285537,1.7727,1.9468235058276389,6.653176494172361,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7840_pso,50,storage_zminus_1p20,,,0.88,0.1056,27.8384144,27.838357196260656,106.45088639626066,1.46259,1.6161113251688612,6.983888674831139,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=36_member=6076_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.071692,37.07165394641189,115.6841831464119,4.31441,4.611269253127779,3.988730746872221,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6576_pso,50,storage_zminus_1p20,,,0.88,0.1056,24.5768452,24.57679423226629,103.18932343226628,1.21064,1.3489245921059596,7.25107540789404,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7833_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.2738412,30.273822445456965,108.88635164545695,1.83739,2.01514317589276,6.58485682410724,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=36_member=6039_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.2367848,34.236759922666806,112.84928912266682,2.88658,3.123439319177814,5.476560680822185,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=45_member=7630_pso,50,storage_zminus_1p20,,,0.88,0.1056,20.27341864,20.273425248681576,98.88595444868156,0.964314,1.0842687689621902,7.51573123103781,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=7002_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.456018,31.456010064777686,110.0685392647777,2.09323,2.2855179369909675,6.314482063009033,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7416_pso,50,storage_zminus_1p20,,,0.88,0.1056,22.539562,22.53949283051267,101.15202203051268,1.03735,1.1665345826361284,7.433465417363871,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8130_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.2965668,30.29664546331896,108.90917466331896,1.8663,2.045054377998924,6.554945622001076,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7150_pso,50,storage_zminus_1p20,,,0.88,0.1056,23.0183592,23.018345966531463,101.63087516653144,1.08725,1.21466265376301,7.385337346236989,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7861_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.5779672,36.57795625745423,115.19048545745424,4.0076,4.29290994671604,4.30709005328396,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8013_pso,50,storage_zminus_1p20,,,0.88,0.1056,24.1898416,24.18988587830649,102.80241507830648,1.14776,1.283655797826088,7.316344202173912,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=34_member=5833_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.588687168688738,4.011312831311262,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=29_member=4835_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.2144420985466264,6.385557901453373,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7309_pso,50,storage_zminus_1p20,,,0.88,0.1056,28.36244,28.362383210764136,106.97491241076412,1.53641,1.6950817793238513,6.904918220676148,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7162_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.2657488,34.265693983561704,112.87822318356172,2.92099,3.1588021250796743,5.441197874920325,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7394_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.912759926941677,6.687240073058323,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7994_pso,50,storage_zminus_1p20,,,0.88,0.1056,27.7078536,27.707961235794844,106.32049043579484,1.42551,1.5769843923275175,7.023015607672482,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8212_pso,50,storage_zminus_1p20,,,0.88,0.1056,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.4092141894178207,7.190785810582179,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=34_member=5718_pso,50,storage_zminus_1p20,,,0.88,0.1056,19.21797048,19.217975104740983,97.83050430474096,0.92753,1.0353507973240894,7.56464920267591,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=40_member=6749_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.0337384,32.03382245921868,110.64635165921868,2.22633,2.4265574830111607,6.173442516988839,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=45_member=7712_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.4058731266083493,6.19412687339165,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=49_member=8286_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.8857992,31.88574680923485,110.49827600923484,2.18552,2.3836010227123423,6.216398977287657,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7987_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.5121561371160324,6.087843862883967,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7104_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.650252243956732,3.949747756043267,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7536_pso,50,storage_zminus_1p20,,,0.88,0.1056,23.4668556,23.46684587614881,102.0793750761488,1.11985,1.2507851586347596,7.34921484136524,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=38_member=6480_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.4072248,31.40713306593588,110.01966226593586,2.07448,2.2685163126683605,6.331483687331639,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7269_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.833296,36.83339971387087,115.44592891387086,4.14372,4.4343699380542345,4.165630061945765,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=35_member=5948_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.07392,37.07384621264411,115.68637541264413,4.33924,4.636371787556408,3.963628212443592,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=29_member=4871_pso,50,storage_zminus_1p20,,,0.88,0.1056,17.843495,17.843497187733753,96.45602638773376,0.881544,0.98672224167461,7.61327775832539,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=36_member=6031_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.3383796,31.338390787551678,109.95091998755169,2.05415,2.2461200314827687,6.353879968517231,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6689_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.4165068,29.416418185838467,108.02894738583844,1.67871,1.846373278302276,6.753626721697724,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7811_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.8479968,30.84800808580873,109.46053728580873,1.95962,2.145131433510037,6.454868566489963,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=36_member=6150_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.5103056,29.51027094900253,108.12280014900254,1.71536,1.8854314541236377,6.714568545876362,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=28_member=4698_pso,50,storage_zminus_1p20,,,0.88,0.1056,19.62453592,19.62453473077234,98.23706393077234,0.948853,1.0652809536189896,7.53471904638101,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=45_member=7580_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.8610710462495303,6.738928953750469,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=37_member=6318_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.3585092,36.35850397821222,114.9710331782122,3.89263,4.171352474876154,4.4286475251238455,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6634_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.24659,37.24656995207669,115.8590991520767,4.3792,4.677950547030899,3.922049452969101,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7788_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.533256,32.533172613400616,111.1457018134006,2.35444,2.5619418091087005,6.038058190891299,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7881_pso,50,storage_zminus_1p20,,,0.88,0.1056,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.5283280270272053,7.071671972972794,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=27_member=4566_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.2026964,34.20265674649548,112.8151859464955,2.87573,3.114579279168786,5.485420720831214,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6698_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.52026,33.52015097310551,112.13268017310553,2.6497,2.8734184115779597,5.72658158842204,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6986_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.7676436,35.767651554973604,114.3801807549736,3.58673,3.857870190965716,4.742129809034283,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6973_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.543287285354954,5.0567127146450455,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=27_member=4568_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.5586552,32.558684654753776,111.17121385475376,2.37042,2.5774221422878383,6.022577857712161,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=37_member=6357_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.625718,32.62572860768373,111.23825780768374,2.3887,2.5983701831738526,6.001629816826148,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8006_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.7613316,36.761407828424296,115.37393702842432,4.09604,4.382072553665119,4.217927446334881,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6898_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.489438,31.489447863162184,110.10197706316218,2.11934,2.314647610754581,6.285352389245419,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6668_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.933108399999995,33.933030846740984,112.545560046741,2.77099,3.0016662913938754,5.598333708606124,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8200_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.8907028,34.89080581472363,113.50333501472365,3.16725,3.420640248564258,5.179359751435741,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=32_member=5452_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.392974628967936,5.207025371032064,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7522_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.1631116,33.16311565476033,111.77564485476032,2.53937,2.7563707563378705,5.843629243662129,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=45_member=7699_pso,50,storage_zminus_1p20,,,0.88,0.1056,25.6714616,25.671464649350018,104.28399384935004,1.28466,1.4254759390785547,7.174524060921445,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=38_member=6478_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.616389128558789,4.983610871441211,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8105_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.5527908,36.55273076856624,115.16525996856625,3.9902,4.2731486753488745,4.326851324651125,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7995_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.4975364,36.49744644974915,115.10997564974916,3.97511,4.260700802819754,4.339299197180246,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=38_member=6507_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.2430988,36.243072285057984,114.855601485058,3.82686,4.103736146187782,4.496263853812217,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8017_pso,50,storage_zminus_1p20,,,0.88,0.1056,26.3334004,26.33332130996634,104.94585050996632,1.31111,1.456644347687397,7.143355652312603,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=28_member=4806_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.335338,36.335363024535646,114.94789222453564,3.87574,4.1539210521925884,4.446078947807411,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=33_member=5559_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.48197565206112,6.11802434793888,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=28_member=4728_pso,50,storage_zminus_1p20,,,0.88,0.1056,25.063886,25.063855919912235,103.67638511991224,1.21593,1.3558005203601835,7.244199479639816,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=30_member=4999_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.9879172,33.98794532305361,112.60047452305362,2.78942,3.024040432054325,5.575959567945675,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7949_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.0690144,31.06896850977157,109.68149770977158,1.99378,2.181561878502669,6.4184381214973305,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=37_member=6216_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.7610332,34.76111558406628,113.37364478406629,3.104,3.3520591028511637,5.247940897148837,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=35_member=5892_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.624976,33.6250096550061,112.23753885500612,2.6693,2.894233569470602,5.705766430529398,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7933_pso,50,storage_zminus_1p20,,,0.88,0.1056,26.4996092,26.49956968298791,105.11209888298792,1.3367,1.4833916649511236,7.116608335048876,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7127_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.779429584900884,5.820570415099116,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7815_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.2096748,30.209600453547942,108.82212965354798,1.82093,1.9973342976602373,6.602665702339762,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6988_pso,50,storage_zminus_1p20,,,0.88,0.1056,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.642168700058924,6.957831299941075,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6630_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.4819701482529206,6.118029851747079,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=46_member=7750_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.3573932,33.35737322320111,111.9699024232011,2.61481,2.8396366764072667,5.760363323592733,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8066_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.1452896,36.14526258672567,114.75779178672568,3.76811,4.043246750587665,4.556753249412335,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=49_member=8375_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.014504,33.01442462041577,111.62695382041578,2.48535,2.6992178700380443,5.900782129961955,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8129_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.6334444,36.63353389800296,115.24606309800296,4.0627,4.347523388773038,4.252476611226962,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6585_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.7828676,34.78292178056862,113.3954509805686,3.109,3.3568178825382544,5.243182117461745,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8011_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.521888234142103,5.078111765857896,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=40_member=6726_pso,50,storage_zminus_1p20,,,0.88,0.1056,31.2425756,31.242517549639818,109.85504674963984,2.03707,2.2275761207601086,6.372423879239891,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7543_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.1870268,35.18705597340057,113.79958517340056,3.29833,3.558246856197896,5.041753143802104,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7287_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,2.906610034583342,5.6933899654166575,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6982_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.2787468,36.278668778733376,114.8911979787334,3.84028,4.118752609700728,4.481247390299272,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=33_member=5577_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.0012852,34.00137781832889,112.6139070183289,2.80281,3.0401037941304825,5.559896205869517,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8183_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.3229070475164177,5.2770929524835815,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=48_member=8234_pso,50,storage_zminus_1p20,,,0.88,0.1056,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.2579897962801465,7.342010203719854,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7080_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.2182188,35.21819334968434,113.83072254968432,3.313,3.573675336805459,5.026324663194541,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=8007_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.1347424,34.13470291303967,112.74723211303969,2.85212,3.092155819020775,5.507844180979225,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=35_member=5961_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.453399763412587,4.146600236587413,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=31_member=5281_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.1156552,33.11569694121411,111.72822614121412,2.52766,2.7442114512205893,5.85578854877941,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=44_member=7417_pso,50,storage_zminus_1p20,,,0.88,0.1056,28.0400484,28.04007293817745,106.65260213817746,1.50233,1.659379573383376,6.940620426616624,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=32_member=5429_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.2145804,36.21459753522952,114.82712673522953,3.8078,4.084888027484935,4.515111972515065,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=37_member=6347_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.6629276,35.66303769617801,114.275566896178,3.52921,3.7977435031533817,4.802256496846618,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7094_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.7239728,32.72396444274264,111.33649364274264,2.40462,2.6135917713731445,5.986408228626855,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=45_member=7577_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.348481199999995,33.348578128286576,111.96110732828656,2.59343,2.8136739386618737,5.786326061338126,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=38_member=6402_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.5117916,30.51186014513365,109.12438934513364,1.8927,2.0741676785636844,6.525832321436315,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=31_member=5196_pso,50,storage_zminus_1p20,,,0.88,0.1056,37.154128,37.154036317385696,115.76656551738569,4.37901,4.677031324332921,3.922968675667079,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6995_pso,50,storage_zminus_1p20,,,0.88,0.1056,33.0581728,33.05810757863159,111.6706367786316,2.50823,2.7233716916965256,5.876628308303474,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=39_member=6611_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.8961992,35.89623286365389,114.5087620636539,3.66312,3.9344807869024514,4.665519213097548,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=49_member=8310_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.436708,30.43676948862573,109.04929868862573,1.88142,2.062974916105302,6.537025083894697,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6917_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.7027312,30.7026693264571,109.3151985264571,1.93448,2.1181186559841465,6.481881344015854,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=42_member=7156_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.610492,30.610510708305725,109.22303990830572,1.91823,2.101342779690522,6.498657220309477,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=29_member=4898_pso,50,storage_zminus_1p20,,,0.88,0.1056,35.9271684,35.92717187396659,114.5397010739666,3.68037,3.9570899415017857,4.642910058498214,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=47_member=7961_pso,50,storage_zminus_1p20,,,0.88,0.1056,32.81844,32.81846706326812,111.43099626326811,2.42627,2.6369433937506157,5.963056606249385,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=31_member=5213_pso,50,storage_zminus_1p20,,,0.88,0.1056,34.374698,34.37459988167344,112.98712908167344,2.94698,3.184864540642469,5.415135459357531,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=33_member=5529_pso,50,storage_zminus_1p20,,,0.88,0.1056,18.32982284,18.32982475749499,96.94235395749496,0.902294,1.0100082402018775,7.589991759798123,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=41_member=6902_pso,50,storage_zminus_1p20,,,0.88,0.1056,29.6283896,29.628353465378915,108.24088266537892,1.72975,1.9009566194705487,6.699043380529451,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7373_pso,50,storage_zminus_1p20,,,0.88,0.1056,30.5668232,30.566917442941545,109.17944664294156,1.90841,2.0910000520416903,6.508999947958309,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
gen=43_member=7354_pso,50,storage_zminus_1p20,,,0.88,0.1056,36.3656388,36.365559376347385,114.9780885763474,3.91205,4.192579851195067,4.407420148804933,-1.2,0.88,0.1056,0.12,0.079811408240092,storage,Storage,S
