scenario,scenario_label,T_factor,S_factor,diffusivity_factor,joint_probability_weight,n_members,mean_streamflow_cfs,mean_depletion_cfs,mean_streamflow_change_from_baseline_cfs,mean_depletion_change_from_baseline_cfs,mean_abs_streamflow_change_from_baseline_cfs,max_abs_streamflow_change_from_baseline_cfs
Tzplus2p00_Szminus2p00,"T 1.20, S 0.80",1.2,0.8,1.4999999999999998,0.0029690167439504,296,5.103327948945705,3.4966720510542944,-0.7477515329965068,0.7477515329965069,0.7477515329965069,1.0348690549905628
Tzplus1p00_Szminus2p00,"T 1.10, S 0.80",1.1,0.8,1.375,0.0133062098910136,296,5.27267887082373,3.3273211291762688,-0.5784006111184813,0.5784006111184813,0.5784006111184813,0.8063590087414378
Tzplus2p00_Szminus1p00,"T 1.20, S 0.90",1.2,0.9,1.3333333333333333,0.0133062098910136,296,5.331433255877238,3.268566744122761,-0.5196462260649742,0.5196462260649742,0.5196462260649742,0.7260554330990381
Tzplus0p00_Szminus2p00,"T 1.00, S 0.80",1.0,0.8,1.25,0.0219382312797146,296,5.452691414461322,3.147308585538678,-0.3983880674808908,0.3983880674808908,0.3983880674808907,0.5594653672078564
Tzplus1p00_Szminus1p00,"T 1.10, S 0.90",1.1,0.9,1.2222222222222223,0.0596342954361801,296,5.494289986969011,3.1057100130309894,-0.3567894949732018,0.3567894949732019,0.3567894949732018,0.5019792268653607
Tzplus2p00_Szplus0p00,"T 1.20, S 1.00",1.2,1.0,1.2,0.0219382312797146,296,5.528011044574976,3.071988955425024,-0.3230684373672366,0.3230684373672366,0.3230684373672366,0.4551552999158579
Tzminus1p00_Szminus2p00,"T 0.90, S 0.80",0.9,0.8,1.125,0.0133062098910136,296,5.644883656030197,2.9551163439698023,-0.2061958259120151,0.2061958259120151,0.2061958259120151,0.2918157736975049
Tzplus0p00_Szminus1p00,"T 1.00, S 0.90",1.0,0.9,1.1111111111111112,0.0983203313488457,296,5.667065457784903,2.9329345422150963,-0.1840140241573089,0.1840140241573089,0.1840140241573089,0.2607338355409982
Tzplus1p00_Szplus0p00,"T 1.10, S 1.00",1.1,1.0,1.1,0.0983203313488457,296,5.6849371820200165,2.915062817979984,-0.1661422999221964,0.1661422999221964,0.1661422999221964,0.2356227641157264
Tzplus2p00_Szplus1p00,"T 1.20, S 1.10",1.2,1.1,1.0909090909090908,0.0133062098910136,296,5.699644313403766,2.9003556865962343,-0.1514351685384467,0.1514351685384467,0.1514351685384467,0.2149124616992868
Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1.0,0.0029690167439504,296,5.851079481942212,2.7489205180577883,-6.016208552360646e-16,5.768658823896928e-16,1.3307673281655592e-15,5.3290705182007506e-15
Tzplus1p00_Szplus1p00,"T 1.10, S 1.10",1.1,1.1,1.0,0.0596342954361801,296,5.851079481942212,2.748920518057788,-2.41548522925203e-16,2.306713378866457e-16,1.4207854112432746e-15,5.3290705182007506e-15
Tzplus2p00_Szplus2p00,"T 1.20, S 1.20",1.2,1.2,1.0,0.0029690167439504,296,5.851079481942212,2.748920518057788,-1.9053827584783087e-16,1.9391395396324528e-16,1.6158245912449914e-15,5.3290705182007506e-15
Tzminus1p00_Szminus1p00,"T 0.90, S 0.90",0.9,0.9,1.0,0.0596342954361801,296,5.851079481942212,2.748920518057788,-1.800361661554308e-16,1.8191154288621651e-16,1.5003013846285902e-15,5.3290705182007506e-15
Tzplus0p00_Szplus0p00,"T 1.00, S 1.00",1.0,1.0,1.0,0.1621028216371266,296,5.851079481942212,2.748920518057788,0.0,0.0,0.0,0.0
Tzplus1p00_Szplus2p00,"T 1.10, S 1.20",1.1,1.2,0.9166666666666669,0.0133062098910136,296,5.997385628024002,2.602614371975998,0.1463061460817895,-0.1463061460817895,0.1463061460817895,0.2103258040777014
Tzplus0p00_Szplus1p00,"T 1.00, S 1.10",1.0,1.1,0.9090909090909092,0.0983203313488457,296,6.0110696909917465,2.588930309008253,0.1599902090495342,-0.1599902090495341,0.1599902090495342,0.2301296705583135
Tzminus1p00_Szplus0p00,"T 0.90, S 1.00",0.9,1.0,0.9,0.0983203313488457,296,6.027577864760852,2.572422135239148,0.1764983828186394,-0.1764983828186394,0.1764983828186394,0.2540793467091271
Tzminus2p00_Szminus1p00,"T 0.80, S 0.90",0.8,0.9,0.888888888888889,0.0133062098910136,296,6.047884058634608,2.5521159413653924,0.1968045766923951,-0.196804576692395,0.196804576692395,0.2836293604261009
Tzplus0p00_Szplus2p00,"T 1.00, S 1.20",1.0,1.2,0.8333333333333334,0.0219382312797146,296,6.151669822239431,2.4483301777605684,0.3005903402972192,-0.3005903402972192,0.3005903402972192,0.4351532646794425
Tzminus1p00_Szplus1p00,"T 0.90, S 1.10",0.9,1.1,0.8181818181818181,0.0596342954361801,296,6.1806504065735846,2.4193495934264155,0.329570924631372,-0.329570924631372,0.329570924631372,0.477855872351661
Tzminus2p00_Szplus0p00,"T 0.80, S 1.00",0.8,1.0,0.8,0.0219382312797146,296,6.215826737307751,2.3841732626922494,0.364747255365538,-0.364747255365538,0.364747255365538,0.5295623749601734
Tzminus1p00_Szplus2p00,"T 0.90, S 1.20",0.9,1.2,0.75,0.0133062098910136,296,6.314895550601078,2.2851044493989217,0.4638160686588659,-0.4638160686588659,0.463816068658866,0.6764405542911369
Tzminus2p00_Szplus1p00,"T 0.80, S 1.10",0.8,1.1,0.7272727272727273,0.0133062098910136,296,6.361113642975707,2.2388863570242936,0.5100341610334939,-0.5100341610334939,0.5100341610334939,0.7454990151577547
Tzminus2p00_Szplus2p00,"T 0.80, S 1.20",0.8,1.2,0.6666666666666667,0.0029690167439504,296,6.48826175672728,2.111738243272719,0.6371822747850681,-0.6371822747850681,0.6371822747850681,0.9367434880454716
