analysis,mean_abs_error,mean_shortfall,mean_std,max_abs_error
Transmissivity,0.1264831141718617,0.06105752916792,0.1574676739390796,0.180804664889138
Storage,0.1272739515540721,0.0687231402972143,0.1591800464858936,0.1815047705700278
Joint T/S,0.1798707906854999,0.0931214972039589,0.2350146142552865,0.2567447584017882
