parameter,direction,mean_abs_streamflow_error_cfs,max_abs_streamflow_error_cfs,mean_shortfall_cfs,mean_streamflow_change_cfs
Transmissivity,-10%,0.1764983828186394,0.2540793467091271,0.0,0.1764983828186394
Transmissivity,+10%,0.1661422999221964,0.2356227641157264,0.1661422999221964,-0.1661422999221964
Storage,-10%,0.1840140241573089,0.2607338355409982,0.1840140241573089,-0.1840140241573089
Storage,+10%,0.1599902090495342,0.2301296705583135,0.0,0.1599902090495342
