statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,0.0,0.22444039395881296,-0.224440393958813,Tplus10per
std,0.0,0.02072038289246514,0.020720382892465125,Tplus10per
25%,0.0,0.20925383540502018,-0.2399353686786414,Tplus10per
50%,0.0,0.22864608681619814,-0.22864608681619814,Tplus10per
75%,0.0,0.2399353686786414,-0.20925383540502018,Tplus10per
max,0.0,0.260343770588098,-0.1786738526340299,Tplus10per
mean,0.0,-0.2398778593765331,0.2398778593765331,Tmin10per
std,0.0,0.02267513799114349,0.022675137991143516,Tmin10per
25%,0.0,-0.2571285887044157,0.2232685755950392,Tmin10per
50%,0.0,-0.24484424162151797,0.24484424162151797,Tmin10per
75%,0.0,-0.2232685755950401,0.2571285887044157,Tmin10per
max,0.0,-0.18960556933803296,0.27896832134833094,Tmin10per
