obsnme,obsval,weight,obgnme
lpr:23972:bdpl,0.0003626114201733,0,obgnme
lpr:23977:bdpl,0.0035167675876678,0,obgnme
lpr:23978:bdpl,5.084232328523699e-09,0,obgnme
lpr:23979:bdpl,6.330797349299214e-07,0,obgnme
lpr:23980:bdpl,6.2360690571426405e-06,0,obgnme
lpr:23981:bdpl,0.0092437336492573,0,obgnme
lpr:23983:bdpl,0.0002799958444114,0,obgnme
lpr:23984:bdpl,0.0022684417709206,0,obgnme
lpr:23985:bdpl,0.0098584121862506,0,obgnme
lpr:23987:bdpl,0.000577929502544,0,obgnme
lpr:23998:bdpl,4.273956589816665e-06,0,obgnme
lpr:24003:bdpl,0.0010200674323862,0,obgnme
lpr:24005:bdpl,0.0017571728961318,0,obgnme
lpr:24010:bdpl,0.0746619458713406,0,obgnme
lpr:24011:bdpl,0.0193041712981466,0,obgnme
lpr:24012:bdpl,4.2431067398334825e-05,0,obgnme
lpr:24016:bdpl,7.942946645676318e-05,0,obgnme
lpr:24024:bdpl,5.502431449890725e-07,0,obgnme
lpr:24030:bdpl,0.0002133515898372,0,obgnme
lpr:24033:bdpl,0.0001468813341319,0,obgnme
lpr:24036:bdpl,2.868509457988284e-06,0,obgnme
lpr:24037:bdpl,1.525406761726029e-06,0,obgnme
lpr:24042:bdpl,3.878813887880549e-05,0,obgnme
lpr:24043:bdpl,8.996996227103856e-08,0,obgnme
lpr:24045:bdpl,0.030094715605879,0,obgnme
lpr:24047:bdpl,0.0002331441372243,0,obgnme
lpr:24049:bdpl,0.0036593845714716,0,obgnme
lpr:24059:bdpl,2.445424426605777e-05,0,obgnme
lpr:24063:bdpl,0.0005232841738557,0,obgnme
lpr:24066:bdpl,2.476476379858749e-06,0,obgnme
lpr:24080:bdpl,1.2978648588152244e-05,0,obgnme
lpr:24091:bdpl,4.42000358700709e-05,0,obgnme
lpr:24093:bdpl,0.0053628080064896,0,obgnme
lpr:24110:bdpl,0.0021870447791269,0,obgnme
lpr:24120:bdpl,6.023840334384272e-06,0,obgnme
lpr:24121:bdpl,0.0011964371269644,0,obgnme
lpr:24125:bdpl,0.0094536187626028,0,obgnme
lpr:24130:bdpl,1.9858757978756328e-05,0,obgnme
lpr:24135:bdpl,6.839072109000329e-05,0,obgnme
lpr:24137:bdpl,0.0245315574444543,0,obgnme
lpr:24165:bdpl,0.0006595217806806,0,obgnme
lpr:24166:bdpl,0.0004328388727201,0,obgnme
lpr:24169:bdpl,1.5673577978740214e-08,0,obgnme
lpr:24172:bdpl,0.0008115684542472,0,obgnme
lpr:24195:bdpl,2.986667320046539e-08,0,obgnme
lpr:24197:bdpl,0.018833568779917,0,obgnme
lpr:24203:bdpl,0.0618138969626149,0,obgnme
lpr:24216:bdpl,1.8439011276162474e-07,0,obgnme
lpr:24225:bdpl,0.0015194067063248,0,obgnme
lpr:24226:bdpl,4.7579405463122976e-05,0,obgnme
lpr:24227:bdpl,0.0018042193026715,0,obgnme
lpr:24239:bdpl,0.1669906032279805,0,obgnme
lpr:24240:bdpl,0.0010129585125525,0,obgnme
lpr:24247:bdpl,1.7647717328227764e-05,0,obgnme
lpr:24249:bdpl,4.3245566092695095e-06,0,obgnme
lpr:24252:bdpl,0.0007115288691193,0,obgnme
lpr:24253:bdpl,7.463808877907044e-06,0,obgnme
lpr:24256:bdpl,2.0036679557115216e-05,0,obgnme
lpr:24265:bdpl,0.0014422205064156,0,obgnme
lpr:24266:bdpl,0.0005823896798057,0,obgnme
lpr:24274:bdpl,0.0142420699288413,0,obgnme
lpr:24279:bdpl,0.001652888784541,0,obgnme
lpr:24283:bdpl,0.0033374396848,0,obgnme
lpr:24285:bdpl,1.4679684153408882e-08,0,obgnme
lpr:24286:bdpl,1.9317405123904857e-08,0,obgnme
lpr:24291:bdpl,0.0048440064999361,0,obgnme
lpr:24293:bdpl,0.0007734516464729,0,obgnme
lpr:24294:bdpl,1.4485984896649065e-08,0,obgnme
lpr:24302:bdpl,8.393447310092624e-11,0,obgnme
lpr:24305:bdpl,6.3613083859952785e-15,0,obgnme
lpr:24307:bdpl,0.0003918886189541,0,obgnme
lpr:24311:bdpl,0.0016020871569863,0,obgnme
lpr:24317:bdpl,0.0001549610650754,0,obgnme
lpr:24323:bdpl,0.1622355532107281,0,obgnme
lpr:2544:bdpl,0.0005013113311308,0,obgnme
lpr:2750:bdpl,1.933158597666595e-06,0,obgnme
lpr:2886:bdpl,0.0494305894751721,0,obgnme
lpr:3473:bdpl,2.9239866736103352e-06,0,obgnme
lpr:3949:bdpl,0.0023467020871096,0,obgnme
lpr:4171:bdpl,3.3903847465445534e-05,0,obgnme
lpr:418:bdpl,0.0066899310261558,0,obgnme
lpr:466:bdpl,0.3830910599467256,0,obgnme
lpr:467:bdpl,0.2874797103858698,0,obgnme
lpr:490:bdpl,5.0031774159423135e-12,0,obgnme
lpr:509:bdpl,2.75348487774215e-07,0,obgnme
lpr:58403:bdpl,0.0004934670046397,0,obgnme
lpr:58405:bdpl,0.2948617004080513,0,obgnme
lpr:58406:bdpl,0.0052794782367608,0,obgnme
lpr:58407:bdpl,0.0063012504614578,0,obgnme
lpr:58410:bdpl,0.0018221135130994,0,obgnme
lpr:58411:bdpl,0.0001411703965394,0,obgnme
lpr:58414:bdpl,4.912350187702825e-05,0,obgnme
lpr:58416:bdpl,1.3350417354794365e-05,0,obgnme
lpr:58424:bdpl,2.9233350554616517e-05,0,obgnme
lpr:58433:bdpl,0.0022718883265624,0,obgnme
lpr:58434:bdpl,1.971431377489288e-07,0,obgnme
lpr:602:bdpl,5.179374008667257e-15,0,obgnme
lpr:603:bdpl,2.728232616017569e-15,0,obgnme
lpr:67673:bdpl,0.0002475431298604,0,obgnme
lpr:67895:bdpl,1.1648247364038827e-09,0,obgnme
lpr:68008:bdpl,0.0007443794186076,0,obgnme
lpr:68216:bdpl,1.1839902550097897e-12,0,obgnme
lpr:68218:bdpl,3.1709222756366525e-13,0,obgnme
lpr:68219:bdpl,2.159367598773615e-12,0,obgnme
lpr:68220:bdpl,5.083517733408572e-12,0,obgnme
lpr:68221:bdpl,1.9000504431606344e-11,0,obgnme
lpr:68294:bdpl,1.0866183590646196e-15,0,obgnme
lpr:68475:bdpl,0.0053534513833576,0,obgnme
lpr:68529:bdpl,0.2740037335351595,0,obgnme
lpr:68693:bdpl,2.450943415040012e-07,0,obgnme
lpr:68695:bdpl,3.257724162542063e-06,0,obgnme
lpr:68872:bdpl,2.702691563134187e-05,0,obgnme
lpr:68917:bdpl,1.606060107134893e-07,0,obgnme
lpr:68925:bdpl,9.09244175823431e-05,0,obgnme
lpr:68926:bdpl,0.0006233371752139,0,obgnme
lpr:69049:bdpl,0.0390505541606507,0,obgnme
lpr:69065:bdpl,0.0001526406055083,0,obgnme
lpr:69282:bdpl,0.0108973670581667,0,obgnme
lpr:69288:bdpl,1.901598487165185e-09,0,obgnme
lpr:69289:bdpl,1.152177150508506e-08,0,obgnme
lpr:69480:bdpl,2.0028136121792508e-06,0,obgnme
lpr:69508:bdpl,5.429781091016883e-12,0,obgnme
lpr:69576:bdpl,9.575688381431589e-08,0,obgnme
lpr:69635:bdpl,1.839881125118581e-09,0,obgnme
lpr:69636:bdpl,4.5814772818982735e-10,0,obgnme
lpr:69638:bdpl,1.0733107746795259e-10,0,obgnme
lpr:69669:bdpl,1.1700153046568702e-14,0,obgnme
lpr:69970:bdpl,0.035863928565248,0,obgnme
lpr:69990:bdpl,9.275553515631615e-05,0,obgnme
lpr:70119:bdpl,0.0336915403546507,0,obgnme
lpr:70120:bdpl,0.0360194631995554,0,obgnme
lpr:70186:bdpl,0.0296224364544006,0,obgnme
lpr:70191:bdpl,1.931223180177792e-07,0,obgnme
lpr:70263:bdpl,4.1733056745113336e-10,0,obgnme
lpr:70517:bdpl,6.394405618270943e-11,0,obgnme
lpr:70519:bdpl,5.663700746260807e-10,0,obgnme
lpr:70520:bdpl,1.3081516432922238e-10,0,obgnme
lpr:70548:bdpl,8.825292161289193e-11,0,obgnme
lpr:70881:bdpl,0.0033335774777618,0,obgnme
lpr:70961:bdpl,2.481871296986712e-07,0,obgnme
lpr:70974:bdpl,4.573352080064609e-08,0,obgnme
lpr:70975:bdpl,8.023424701867736e-09,0,obgnme
lpr:71044:bdpl,0.0208725999475597,0,obgnme
