scenario,T_factor,T_value,probability_weight,member,generation,ag_receipts_archive_baseline,fish_prob_archive_baseline,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_gpm,raw_total_pumping_cfs,effective_total_pumping_gpm,effective_total_pumping_cfs,depletion_obs_name,depletion_cfs,streamflow_cfs
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=47_member=5907_pso,50,9738960.0,0.719193,9738959.963789836,0.7213941836946208,42427.949226186,94.52947087594241,41736.54912774984,92.98903145662663,lpr:total_combined:bdpl,1.2359680273670353,7.364031972632964
T_factor_0.800,0.8,1360.0,0.022190548492442997,56,50,12446400.0,0.533346,12446397.913772527,0.5847866045675107,52637.1528415432,117.27557653095823,52637.1528415432,117.27557653095823,lpr:total_combined:bdpl,4.271023871389635,4.328976128610365
T_factor_0.800,0.8,1360.0,0.022190548492442997,64,50,12377800.0,0.56755,12377834.289729021,0.6117066699929685,52241.56295681393,116.39420226778142,52241.56295681393,116.39420226778142,lpr:total_combined:bdpl,3.9547280789483468,4.645271921051653
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=40_member=5105_pso,50,12283000.0,0.583854,12283049.42442162,0.6227093921521031,51868.902507044404,115.56391478569493,51444.95457882824,114.61935880162932,lpr:total_combined:bdpl,3.810621025617094,4.789378974382906
T_factor_0.800,0.8,1360.0,0.022190548492442997,30,50,12433400.0,0.544694,12433371.76921002,0.5935049203179575,52187.23403515008,116.27315743031438,52187.23403515008,116.27315743031438,lpr:total_combined:bdpl,4.176823592409923,4.423176407590077
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=36_member=4531_pso,50,12223600.0,0.605591,12223597.44766552,0.639725882004857,51053.0244471527,113.7461384682562,51053.0244471527,113.7461384682562,lpr:total_combined:bdpl,3.584187900156263,5.015812099843737
T_factor_0.800,0.8,1360.0,0.022190548492442997,105,50,12417100.0,0.55506,12417148.746273495,0.6021844843912174,52327.1463926199,116.58488216275714,52327.1463926199,116.58488216275714,lpr:total_combined:bdpl,4.079443952756214,4.520556047243786
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=49_member=6222_pso,50,12218800.0,0.616332,12218818.301128551,0.647515554349865,51106.17822286103,113.86456508053438,51106.17822286103,113.86456508053438,lpr:total_combined:bdpl,3.4525044501450237,5.147495549854976
T_factor_0.800,0.8,1360.0,0.022190548492442997,18,50,12390900.0,0.557388,12390900.705456987,0.60378151171345,52187.6001459564,116.27397312519085,52187.6001459564,116.27397312519085,lpr:total_combined:bdpl,4.058527047087977,4.541472952912023
T_factor_0.800,0.8,1360.0,0.022190548492442997,35,50,12440100.0,0.533609,12440134.96511929,0.5852700481311252,52700.025782036595,117.41565744237754,52700.025782036595,117.41565744237754,lpr:total_combined:bdpl,4.265800325940379,4.3341996740596205
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=44_member=5567_pso,50,9875600.0,0.719021,9875603.379483644,0.7212690919704793,42989.08731889699,95.7796865465025,42069.119675814705,93.72999863771516,lpr:total_combined:bdpl,1.2467010997956045,7.353298900204395
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=49_member=6144_pso,50,9757770.0,0.719034,9757774.55799681,0.7212541850062005,42132.10114850491,93.87032135886894,41805.01359125954,93.14157028132627,lpr:total_combined:bdpl,1.2479801414619636,7.352019858538036
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=46_member=5849_pso,50,10309300.0,0.717719,10309323.448797248,0.7201493181239972,45220.50929470598,100.75129470860493,43336.516794327195,96.55375941776099,lpr:total_combined:bdpl,1.3427795085024083,7.257220491497591
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=31_member=3852_pso,50,12085500.0,0.652391,12085489.190941257,0.6742981252289009,50809.626277516305,113.20384734630632,50462.82627345364,112.4311769372547,lpr:total_combined:bdpl,2.9691127920557716,5.6308872079442285
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=37_member=4697_pso,50,9951180.0,0.718657,9951183.919557761,0.7209837192377017,42929.95184756078,95.6479327163654,42506.86767415341,94.70530117801378,lpr:total_combined:bdpl,1.27118654222643,7.3288134577735695
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=42_member=5264_pso,50,12276000.0,0.587416,12275991.063515613,0.6254797419676236,51721.642237508655,115.23581890516928,51425.41398676402,114.57582236251024,lpr:total_combined:bdpl,3.774336645912022,4.825663354087977
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=43_member=5399_pso,50,12075700.0,0.659796,12075652.37136835,0.6798797710155958,50662.073440237364,112.87509962484884,50563.483653430434,112.655441579843,lpr:total_combined:bdpl,2.845921462887009,5.75407853711299
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=35_member=4383_pso,50,10482600.0,0.717261,10482596.881225228,0.71976143328111,44395.66150852786,98.91353384100007,43697.952601065685,97.35903839517434,lpr:total_combined:bdpl,1.376060655926208,7.223939344073791
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=47_member=5964_pso,50,10840100.0,0.714224,10840089.258866806,0.7182364732357025,45340.13174397748,101.01781352558181,44763.52736283021,99.7331389643857,lpr:total_combined:bdpl,1.5069046964121422,7.093095303587857
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=45_member=5721_pso,50,10935500.0,0.713017,10935459.38484597,0.7177145523078601,46077.815037649634,102.66137190388338,45406.79805241785,101.16634606078696,lpr:total_combined:bdpl,1.5516863569013737,7.048313643098626
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=47_member=5893_pso,50,10050300.0,0.718629,10050330.220899835,0.7209714540577224,44663.8123416983,99.51097389730381,42679.893231787595,95.09080212042277,lpr:total_combined:bdpl,1.2722389145233968,7.327761085476602
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=35_member=4446_pso,50,11409800.0,0.706375,11409792.203285765,0.7123832719789456,48804.747890203915,108.73697829937431,47323.49343085893,105.4367433639537,lpr:total_combined:bdpl,1.8302765998231363,6.769723400176863
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=45_member=5683_pso,50,10240800.0,0.71792,10240771.73598947,0.720339682949248,44683.47269518394,99.55477716486982,43384.26011810516,96.66013154313829,lpr:total_combined:bdpl,1.326445898335225,7.273554101664775
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=49_member=6242_pso,50,11866200.0,0.690335,11866171.531540677,0.701419492293969,49793.36739732516,110.93962256124044,49240.59882468567,109.70805418139967,lpr:total_combined:bdpl,2.2704724506395255,6.329527549360474
T_factor_0.800,0.8,1360.0,0.022190548492442997,gen=45_member=5670_pso,50,10406200.0,0.717494,10406231.87516301,0.7199959031504544,44191.60289947777,98.45889126003648,43609.30208475285,97.16152504482936,lpr:total_combined:bdpl,1.3559427615789972,7.244057238421003
