,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
10124,gen=44_member=7463_pso,35.6827568,7.967497,0.632503
10125,gen=45_member=7726_pso,35.6662696,7.968526,0.631474
10126,gen=29_member=4873_pso,33.1965316,8.268639,0.331361
10127,gen=40_member=6821_pso,35.5205584,7.995749999999999,0.60425
10128,gen=49_member=8383_pso,36.6599576,7.797771,0.802229
10129,gen=48_member=8134_pso,32.7778904,8.301185,0.298815
10130,gen=40_member=6824_pso,37.2693156,7.679504,0.920496
10131,gen=41_member=6996_pso,36.502215199999995,7.824822999999999,0.775177
10132,gen=32_member=5487_pso,35.7997268,7.944864,0.655136
10133,gen=27_member=4635_pso,36.151305199999996,7.887175999999999,0.712824
10134,gen=27_member=4615_pso,35.407376,8.014917,0.585083
10135,gen=21_member=3523_pso,35.419407199999995,8.012889999999999,0.58711
10136,gen=46_member=7764_pso,34.552938,8.152535,0.447465
10137,gen=41_member=6937_pso,32.4145036,8.324232,0.275768
10138,gen=43_member=7327_pso,34.7688312,8.117663,0.482337
10139,gen=27_member=4569_pso,36.8595864,7.761367999999999,0.838632
10140,gen=30_member=5109_pso,36.7192224,7.787888,0.812112
10141,gen=47_member=7983_pso,35.90422,7.928402999999999,0.671597
10142,gen=29_member=4979_pso,37.169724,7.695043999999999,0.904956
10143,gen=44_member=7563_pso,36.1243464,7.888398,0.711602
10144,gen=41_member=6985_pso,31.276441199999997,8.397389,0.202611
10145,gen=36_member=6169_pso,36.876519200000004,7.7582889999999995,0.841711
10146,gen=31_member=5268_pso,35.4505992,8.008445,0.591555
10147,gen=44_member=7483_pso,32.8592124,8.293332,0.306668
10148,gen=33_member=5554_pso,33.1858372,8.269738,0.330262
10149,gen=28_member=4792_pso,36.370540399999996,7.8472919999999995,0.752708
10150,gen=37_member=6346_pso,36.833296,7.765731,0.834269
10151,gen=43_member=7351_pso,36.7858396,7.775079,0.824921
10152,gen=39_member=6583_pso,36.819928,7.768743,0.831257
10153,gen=40_member=6770_pso,36.9852456,7.737038,0.862962
10154,gen=47_member=8043_pso,35.636637199999996,7.975581,0.624419
10155,gen=49_member=8420_pso,33.395492,8.2539,0.3461
10156,gen=42_member=7178_pso,37.334596,7.662246,0.937754
10157,gen=35_member=5961_pso,35.7413532,7.957529999999999,0.64247
10158,gen=28_member=4784_pso,35.8799348,7.932701,0.667299
10159,gen=35_member=5974_pso,35.8779296,7.934385,0.665615
10160,gen=29_member=4877_pso,36.3346696,7.854165,0.745835
10161,gen=41_member=7049_pso,36.774476799999995,7.777801999999999,0.822198
10162,gen=26_member=4369_pso,34.8739928,8.099495,0.500505
10163,gen=41_member=6993_pso,36.285208,7.862686,0.737314
10164,gen=31_member=5214_pso,36.078004,7.8992119999999995,0.700788
10165,gen=33_member=5563_pso,35.1348916,8.059056,0.540944
10166,gen=34_member=5712_pso,37.2704296,7.677258999999999,0.922741
10167,gen=23_member=3925_pso,36.5392,7.816164,0.783836
10168,gen=47_member=8060_pso,35.339422,8.023887,0.576113
10169,gen=40_member=6786_pso,36.3881416,7.845911999999999,0.754088
10170,gen=29_member=4882_pso,34.404553199999995,8.166622,0.433378
10171,gen=48_member=8148_pso,34.9642268,8.087031999999999,0.512968
10172,gen=40_member=6752_pso,36.279415199999995,7.864876,0.735124
10173,gen=34_member=5846_pso,35.8576548,7.936897,0.663103
10174,gen=29_member=4970_pso,37.3294716,7.663956,0.936044
10175,gen=43_member=7278_pso,36.365415999999996,7.849990999999999,0.750009
10176,gen=49_member=8412_pso,35.7161768,7.960965,0.639035
10177,gen=47_member=8005_pso,36.2457724,7.8710309999999994,0.728969
10178,gen=26_member=4400_pso,36.8056688,7.769238,0.830762
10179,gen=21_member=3603_pso,34.8913712,8.098443999999999,0.501556
10180,gen=33_member=5611_pso,34.72895,8.124006,0.475994
10181,gen=28_member=4673_pso,36.741502399999995,7.783103,0.816897
10182,gen=44_member=7533_pso,37.2035896,7.690964999999999,0.909035
10183,gen=30_member=5079_pso,37.209605200000006,7.688912999999999,0.911087
10184,gen=32_member=5494_pso,36.5645992,7.814073,0.785927
10185,gen=34_member=5710_pso,36.8647108,7.760114,0.839886
10186,gen=44_member=7543_pso,32.4470324,8.323425,0.276575
10187,gen=27_member=4633_pso,35.2304728,8.043118999999999,0.556881
10188,gen=36_member=6109_pso,36.7938604,7.774292,0.825708
10189,gen=39_member=6677_pso,36.646366799999996,7.800777,0.799223
10190,gen=46_member=7892_pso,37.0912984,7.713609999999999,0.88639
10191,gen=39_member=6666_pso,35.5461804,7.991096,0.608904
10192,gen=43_member=7316_pso,36.4875104,7.828913999999999,0.771086
10193,gen=18_member=2953_pso,35.1741044,8.051544,0.548456
10194,gen=27_member=4595_pso,36.4093076,7.840678,0.759322
10196,gen=36_member=6146_pso,36.0207444,7.907998999999999,0.692001
10197,gen=42_member=7157_pso,36.8025496,7.771883,0.828117
10198,gen=35_member=5955_pso,36.0670868,7.900535,0.699465
10199,gen=40_member=6842_pso,36.755316,7.780466,0.819534
10200,gen=36_member=6185_pso,36.4886244,7.826465,0.773535
10201,gen=36_member=6154_pso,35.550636399999995,7.9897409999999995,0.610259
10202,gen=26_member=4372_pso,34.618664,8.141467,0.458533
10203,gen=44_member=7508_pso,35.2663436,8.036054,0.563946
10204,gen=24_member=4054_pso,35.0526784,8.070409999999999,0.52959
10205,gen=27_member=4577_pso,34.525088,8.154983,0.445017
10206,gen=35_member=5976_pso,35.392894,8.017104999999999,0.582895
10207,gen=28_member=4726_pso,35.5724708,7.987264,0.612736
10208,gen=44_member=7512_pso,33.3462532,8.256325,0.343675
10209,gen=37_member=6224_pso,35.3766296,8.020484,0.579516
10210,gen=48_member=8118_pso,36.70073,7.789726999999999,0.810273
10211,gen=29_member=4900_pso,37.1525684,7.703761,0.896239
10212,gen=32_member=5360_pso,35.1190728,8.061091,0.538909
10213,gen=46_member=7784_pso,35.8705772,7.936144,0.663856
10214,gen=44_member=7467_pso,35.568906,7.988472,0.611528
10215,gen=27_member=4578_pso,36.7640052,7.778499,0.821501
10217,gen=44_member=7548_pso,36.7980936,7.772043,0.827957
10218,gen=35_member=5924_pso,37.187770799999996,7.694387,0.905613
10219,gen=26_member=4381_pso,37.1879936,7.6926689999999995,0.907331
10220,gen=38_member=6486_pso,36.3016952,7.861409,0.738591
10221,gen=47_member=8007_pso,35.9385312,7.922825,0.677175
10222,gen=48_member=8229_pso,37.1394232,7.704880999999999,0.895119
10223,gen=30_member=5123_pso,36.96831279999999,7.7387749999999995,0.861225
10224,gen=25_member=4270_pso,35.3380852,8.025075,0.574925
10226,gen=46_member=7820_pso,34.670576399999995,8.132552,0.467448
10227,gen=28_member=4743_pso,35.8912976,7.930924999999999,0.669075
10228,gen=46_member=7855_pso,35.7128348,7.9626399999999995,0.63736
10229,gen=25_member=4269_pso,34.551823999999996,8.153172,0.446828
10230,gen=41_member=6944_pso,36.3614056,7.850491,0.749509
10231,gen=33_member=5568_pso,36.3522708,7.852174,0.747826
10232,gen=22_member=3775_pso,35.3581372,8.021768,0.578232
10233,gen=49_member=8352_pso,35.382868,8.01872,0.58128
10234,gen=47_member=8001_pso,35.1680888,8.052964,0.547036
10235,gen=48_member=8099_pso,34.628021600000004,8.14144,0.45856
10236,gen=28_member=4736_pso,35.9022148,7.929002,0.670998
10237,gen=27_member=4597_pso,35.6297304,7.9767079999999995,0.623292
10238,gen=39_member=6702_pso,35.7057052,7.963158999999999,0.636841
10239,gen=28_member=4767_pso,35.1241972,8.059717,0.540283
10240,gen=40_member=6870_pso,36.5641536,7.815161,0.784839
10241,gen=40_member=6838_pso,35.4171792,8.013429,0.586571
10242,gen=38_member=6403_pso,35.9260544,7.92357,0.67643
10243,gen=30_member=5121_pso,36.8393116,7.765216,0.834784
10244,gen=48_member=8131_pso,36.3507112,7.852665,0.747335
10245,gen=40_member=6827_pso,35.8948624,7.930504,0.669496
10246,gen=44_member=7443_pso,36.760886,7.7802679999999995,0.819732
10247,gen=21_member=3475_pso,36.031216,7.906929,0.693071
10248,gen=47_member=8039_pso,35.732664,7.959389,0.640611
10249,gen=48_member=8157_pso,37.2592896,7.6818349999999995,0.918165
10250,gen=28_member=4685_pso,29.210862399999996,8.459515,0.140485
10251,gen=35_member=6016_pso,36.7134296,7.787977,0.812023
10252,gen=49_member=8295_pso,37.1946776,7.692019999999999,0.90798
10253,gen=36_member=6042_pso,36.409530399999994,7.840285,0.759715
10254,gen=32_member=5396_pso,34.5426892,8.15472,0.44528
10255,gen=49_member=8416_pso,36.4977592,7.826269999999999,0.77373
10256,gen=28_member=4794_pso,35.7311044,7.959442999999999,0.640557
10257,gen=32_member=5452_pso,37.2637456,7.680975,0.919025
10258,gen=40_member=6810_pso,36.6927092,7.790503999999999,0.809496
10259,gen=23_member=3876_pso,35.5181076,7.996492,0.603508
10260,gen=37_member=6233_pso,36.3861364,7.846462,0.753538
10261,gen=47_member=7997_pso,36.4781528,7.8294299999999994,0.77057
10262,gen=37_member=6249_pso,35.4434696,8.009024,0.590976
10263,gen=44_member=7477_pso,36.295234,7.861478,0.738522
10264,gen=46_member=7898_pso,35.389106399999996,8.017479,0.582521
10265,gen=27_member=4586_pso,35.3875468,8.01835,0.58165
10266,gen=34_member=5784_pso,35.061367600000004,8.06992,0.53008
10267,gen=34_member=5847_pso,37.227652,7.687875,0.912125
10268,gen=35_member=5933_pso,35.1502648,8.054077,0.545923
10269,gen=45_member=7677_pso,35.1591768,8.053659999999999,0.54634
10270,gen=45_member=7617_pso,36.028765199999995,7.907671,0.692329
10271,gen=48_member=8101_pso,35.370613999999996,8.02125,0.57875
10272,gen=44_member=7448_pso,36.5574696,7.8161059999999996,0.783894
10273,gen=27_member=4485_pso,36.738606,7.7835909999999995,0.816409
10274,gen=44_member=7473_pso,36.0951596,7.89633,0.70367
10275,gen=41_member=6998_pso,37.2592896,7.681022,0.918978
10276,gen=30_member=5048_pso,36.730807999999996,7.783983999999999,0.816016
10277,gen=26_member=4432_pso,35.9269456,7.923373,0.676627
10278,gen=29_member=4923_pso,36.6456984,7.800787,0.799213
10279,gen=34_member=5809_pso,35.813986,7.9447909999999995,0.655209
10280,gen=31_member=5243_pso,35.3666036,8.02154,0.57846
10281,gen=27_member=4576_pso,35.0578028,8.069977999999999,0.530022
10282,gen=36_member=6059_pso,29.0266068,8.459722,0.140278
10283,gen=46_member=7904_pso,35.3637072,8.021749999999999,0.57825
10284,gen=35_member=5889_pso,34.5389016,8.154819999999999,0.44518
10285,gen=38_member=6395_pso,36.75888079999999,7.780415,0.819585
10286,gen=25_member=4299_pso,34.5342228,8.154921,0.445079
10287,gen=38_member=6431_pso,37.26018079999999,7.680988999999999,0.919011
10291,gen=50_member=8468_pso,32.0874332,8.348576999999999,0.251423
10295,gen=50_member=8494_pso,35.7876956,7.948573,0.651427
10296,gen=50_member=8588_pso,36.1040716,7.893231999999999,0.706768
10299,gen=50_member=8535_pso,36.1539788,7.886836,0.713164
10301,gen=50_member=8563_pso,35.9697232,7.918107999999999,0.681892
10302,gen=50_member=8476_pso,33.7533088,8.228647,0.371353
10304,gen=50_member=8597_pso,36.290777999999996,7.861606999999999,0.738393
10305,gen=50_member=8584_pso,34.8619616,8.102072,0.497928
10307,gen=50_member=8466_pso,31.591257600000002,8.379313999999999,0.220686
10309,gen=50_member=8593_pso,34.6525296,8.134748,0.465252
10311,gen=50_member=8599_pso,36.0886984,7.897697,0.702303
10312,gen=50_member=8539_pso,34.325682,8.177278,0.422722
10313,gen=50_member=8463_pso,33.803216,8.223799,0.376201
10314,gen=50_member=8575_pso,36.9284316,7.747795999999999,0.852204
10315,gen=50_member=8509_pso,33.0929296,8.273939,0.326061
10316,gen=50_member=8520_pso,32.2694608,8.334368999999999,0.265631
10317,gen=50_member=8591_pso,35.829136399999996,7.94102,0.65898
10318,gen=50_member=8459_pso,32.8578756,8.296026,0.303974
10320,gen=50_member=8550_pso,34.7124628,8.127554,0.472446
10322,gen=50_member=8505_pso,35.1484824,8.056362,0.543638
10325,gen=50_member=8457_pso,36.1711344,7.882966,0.717034
10327,gen=50_member=8503_pso,32.7041436,8.307354,0.292646
10328,gen=50_member=8493_pso,33.8582476,8.220129,0.379871
10329,gen=50_member=8482_pso,32.6959,8.307478,0.292522
