,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
9026,gen=47_member=8015_pso,34.4361908,5.4509099999999995,3.14909
9027,gen=42_member=7137_pso,31.487878399999996,6.3564099999999994,2.24359
9028,gen=36_member=6152_pso,36.3224156,4.51732,4.08268
9029,gen=32_member=5424_pso,35.5112008,4.932689999999999,3.66731
9030,gen=35_member=5857_pso,35.944324,4.726559999999999,3.87344
9031,gen=47_member=8077_pso,34.6378248,5.363659999999999,3.23634
9032,gen=31_member=5219_pso,31.2815656,6.38892,2.21108
9033,gen=41_member=6919_pso,37.316994799999996,3.97452,4.62548
9034,gen=40_member=6744_pso,37.3065232,3.9875999999999996,4.6124
9035,gen=47_member=7959_pso,35.414728399999994,5.000209999999999,3.59979
9036,gen=45_member=7585_pso,33.778708,5.69285,2.90715
9037,gen=38_member=6404_pso,26.5771436,7.18528,1.41472
9038,gen=41_member=7013_pso,32.399575999999996,6.10135,2.49865
9039,gen=41_member=6938_pso,32.391778,6.103769999999999,2.49623
9040,gen=48_member=8238_pso,33.2455476,5.857989999999999,2.74201
9041,gen=40_member=6773_pso,36.4208932,4.47298,4.12702
9042,gen=33_member=5537_pso,35.8536444,4.77365,3.82635
9043,gen=40_member=6862_pso,36.6456984,4.3525599999999995,4.24744
9044,gen=46_member=7783_pso,30.841089999999998,6.48803,2.11197
9045,gen=38_member=6410_pso,33.5911104,5.760619999999999,2.83938
9046,gen=37_member=6360_pso,34.453792,5.44111,3.15889
9047,gen=45_member=7734_pso,35.3920028,5.01492,3.58508
9048,gen=39_member=6664_pso,36.0129464,4.68784,3.91216
9049,gen=31_member=5174_pso,32.858098399999996,5.96274,2.63726
9050,gen=35_member=5896_pso,34.3709104,5.46603,3.13397
9051,gen=30_member=5158_pso,32.412943999999996,6.08254,2.51746
9053,gen=31_member=5270_pso,34.5879176,5.38392,3.21608
9054,gen=49_member=8412_pso,26.4726504,7.197279999999999,1.40272
9055,gen=44_member=7417_pso,34.8260908,5.281649999999999,3.31835
9056,gen=44_member=7482_pso,34.817401600000004,5.28827,3.31173
9057,gen=31_member=5205_pso,35.326054,5.025129999999999,3.57487
9058,gen=42_member=7202_pso,34.265080399999995,5.50367,3.09633
9060,gen=43_member=7303_pso,31.9644476,6.212249999999999,2.38775
9061,gen=46_member=7845_pso,36.174922,4.6160499999999995,3.98395
9062,gen=22_member=3645_pso,21.523326639999997,7.52646,1.07354
9063,gen=45_member=7735_pso,37.161034799999996,4.06656,4.53344
9064,gen=35_member=5980_pso,36.432256,4.46617,4.13383
9065,gen=36_member=6096_pso,33.745288,5.7011,2.8989
9066,gen=35_member=5897_pso,36.2901096,4.54174,4.05826
9067,gen=46_member=7797_pso,34.6191096,5.38022,3.21978
9068,gen=44_member=7433_pso,35.8745876,4.76784,3.83216
9069,gen=28_member=4715_pso,36.2003212,4.59472,4.00528
9070,gen=34_member=5728_pso,34.6652292,5.358079999999999,3.24192
9071,gen=44_member=7461_pso,35.5457348,4.93196,3.66804
9072,gen=39_member=6580_pso,34.8989464,5.2518199999999995,3.34818
9073,gen=41_member=6968_pso,35.0283932,5.179399999999999,3.4206
9074,gen=44_member=7470_pso,36.111424,4.64575,3.95425
9075,gen=49_member=8295_pso,19.56241928,7.669163999999999,0.930836
9076,gen=37_member=6278_pso,35.1814568,5.11237,3.48763
9077,gen=49_member=8314_pso,33.9114968,5.668469999999999,2.93153
9078,gen=42_member=7162_pso,36.403960399999995,4.487279999999999,4.11272
9079,gen=42_member=7131_pso,37.0064116,4.135599999999999,4.4644
9080,gen=36_member=6113_pso,30.221483199999998,6.59352,2.00648
9081,gen=44_member=7557_pso,34.8842416,5.25859,3.34141
9082,gen=35_member=5923_pso,30.6147252,6.519259999999999,2.08074
9083,gen=42_member=7127_pso,33.9518236,5.65511,2.94489
9084,gen=31_member=5215_pso,29.7094888,6.7195599999999995,1.88044
9085,gen=39_member=6698_pso,36.6033664,4.3774299999999995,4.22257
9086,gen=33_member=5535_pso,30.583533199999998,6.528739999999999,2.07126
9087,gen=42_member=7094_pso,36.3451412,4.503889999999999,4.09611
9088,gen=38_member=6409_pso,36.6824604,4.3400099999999995,4.25999
9089,gen=44_member=7437_pso,29.6629236,6.724019999999999,1.87598
9090,gen=40_member=6741_pso,34.5589536,5.406839999999999,3.19316
