,Total Pumping (cfs),Depletion (cfs),member
5940,8.86561304,4.50755,gen=36_member=1365_pso
5941,5.2386964,2.80472,gen=21_member=791_pso
5942,9.115862,4.64505,gen=30_member=1109_pso
5943,7.123784919999999,3.59382,gen=18_member=670_pso
5944,7.065344479999999,3.58448,gen=17_member=634_pso
5945,9.566073959999999,4.90715,37
5946,4.25476704,2.52356,gen=32_member=1199_pso
5947,9.41835756,4.8244,gen=48_member=1823_pso
5948,4.26078264,2.52546,gen=24_member=908_pso
5949,6.33467188,3.20993,gen=15_member=543_pso
5950,8.20322864,4.13265,gen=50_member=1883_pso
5952,6.8757194,3.46701,gen=50_member=1894_pso
5960,6.224363599999999,3.16179,gen=50_member=1889_pso
