scenario,T_factor,T_value,n_members,mean_effective_total_pumping_cfs,min_effective_total_pumping_cfs,max_effective_total_pumping_cfs,mean_depletion_cfs,min_depletion_cfs,max_depletion_cfs,mean_streamflow_cfs,min_streamflow_cfs,max_streamflow_cfs,mean_streamflow_change_from_baseline_cfs,mean_absolute_streamflow_error_cfs,max_absolute_streamflow_error_cfs,mean_streamflow_shortfall_below_baseline_cfs,max_streamflow_shortfall_below_baseline_cfs
T_minus_10pct,0.9,1530.0,174,107.2884048224189,92.98903145662663,117.41565744237754,2.544795386311576,1.333014701783983,4.544447536037786,6.0552046136884226,4.055552463962214,7.266985298216016,0.1607080860959388,0.1607080860959388,0.2541554283586489,0.0,0.0
baseline_T,1.0,1700.0,174,107.2884048224189,92.98903145662663,117.41565744237754,2.705503472407515,1.4248247829017298,4.797320436941502,5.8944965275924845,3.802679563058498,7.175175217098269,0.0,0.0,0.0,0.0,0.0
T_plus_10pct,1.1,1870.0000000000002,174,107.2884048224189,92.98903145662663,117.41565744237754,2.8561562633108553,1.5121039802921465,5.032107879003476,5.743843736689144,3.5678921209965235,7.087896019707853,-0.1506527909033401,0.1506527909033401,0.23582114900384354,0.1506527909033401,0.23582114900384354
