member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_value__T_minus_10pct,T_value__T_plus_10pct,T_value__baseline_T,absolute_streamflow_error_cfs__T_minus_10pct,absolute_streamflow_error_cfs__T_plus_10pct,absolute_streamflow_error_cfs__baseline_T,depletion_cfs__T_minus_10pct,depletion_cfs__T_plus_10pct,depletion_cfs__baseline_T,depletion_change_from_baseline_cfs__T_minus_10pct,depletion_change_from_baseline_cfs__T_plus_10pct,depletion_change_from_baseline_cfs__baseline_T,streamflow_cfs__T_minus_10pct,streamflow_cfs__T_plus_10pct,streamflow_cfs__baseline_T,streamflow_change_from_baseline_cfs__T_minus_10pct,streamflow_change_from_baseline_cfs__T_plus_10pct,streamflow_change_from_baseline_cfs__baseline_T,streamflow_shortfall_below_baseline_cfs__T_minus_10pct,streamflow_shortfall_below_baseline_cfs__T_plus_10pct,streamflow_shortfall_below_baseline_cfs__baseline_T
105,50,116.58488216275714,116.58488216275714,1530.0,1870.0000000000002,1700.0,0.24645446858549924,0.22885888617430084,0.0,4.345759256245747,4.8210726110055475,4.592213724831247,-0.24645446858549924,0.22885888617430084,0.0,4.254240743754252,3.778927388994452,4.007786275168753,0.24645446858549924,-0.22885888617430084,0.0,0.0,0.22885888617430084,0.0
18,50,116.27397312519085,116.27397312519085,1530.0,1870.0000000000002,1700.0,0.24419220266973252,0.22662011660542092,0.0,4.322867983040561,4.793680302315715,4.567060185710294,-0.24419220266973252,0.22662011660542092,0.0,4.277132016959438,3.806319697684285,4.032939814289706,0.24419220266973252,-0.22662011660542092,0.0,0.0,0.22662011660542092,0.0
30,50,116.27315743031438,116.27315743031438,1530.0,1870.0000000000002,1700.0,0.24632564487126363,0.22843081257600328,0.0,4.4443360055369245,4.9190924629841914,4.690661650408188,-0.24632564487126363,0.22843081257600328,0.0,4.155663994463075,3.680907537015808,3.9093383495918115,0.24632564487126363,-0.22843081257600328,0.0,0.0,0.22843081257600328,0.0
35,50,117.41565744237754,117.41565744237754,1530.0,1870.0000000000002,1700.0,0.2541554283586489,0.23582114900384354,0.0,4.540685200807719,5.030661778170211,4.794840629166368,-0.2541554283586489,0.23582114900384354,0.0,4.059314799192281,3.5693382218297884,3.805159370833632,0.2541554283586489,-0.23582114900384354,0.0,0.0,0.23582114900384354,0.0
56,50,117.27557653095823,117.27557653095823,1530.0,1870.0000000000002,1700.0,0.25287290090371606,0.23478744206197444,0.0,4.544447536037786,5.032107879003476,4.797320436941502,-0.25287290090371606,0.23478744206197444,0.0,4.055552463962214,3.5678921209965235,3.802679563058498,0.25287290090371606,-0.23478744206197444,0.0,0.0,0.23478744206197444,0.0
64,50,116.39420226778142,116.39420226778142,1530.0,1870.0000000000002,1700.0,0.24151886039212478,0.22436533404240944,0.0,4.215746404959052,4.6816305993935865,4.457265265351177,-0.24151886039212478,0.22436533404240944,0.0,4.384253595040947,3.918369400606413,4.142734734648823,0.24151886039212478,-0.22436533404240944,0.0,0.0,0.22436533404240944,0.0
8,50,116.81868744021499,116.81868744021499,1530.0,1870.0000000000002,1700.0,0.2469785052628497,0.22960078205942658,0.0,4.327392435663461,4.803971722985738,4.574370940926311,-0.2469785052628497,0.22960078205942658,0.0,4.272607564336538,3.796028277014262,4.0256290590736885,0.2469785052628497,-0.22960078205942658,0.0,0.0,0.22960078205942658,0.0
90,50,116.67420011609178,116.67420011609178,1530.0,1870.0000000000002,1700.0,0.24518031293214637,0.22788376551364387,0.0,4.330041279993649,4.803105358439439,4.5752215929257956,-0.24518031293214637,0.22788376551364387,0.0,4.2699587200063505,3.7968946415605602,4.024778407074204,0.24518031293214637,-0.22788376551364387,0.0,0.0,0.22788376551364387,0.0
gen=23_member=2880_pso,50,112.92684908610946,112.54441838708175,1530.0,1870.0000000000002,1700.0,0.194084644540923,0.1817507780779648,0.0,3.192334496026636,3.568169918645523,3.3864191405675586,-0.19408464454092256,0.18175077807796436,0.0,5.407665503973364,5.031830081354476,5.213580859432441,0.194084644540923,-0.1817507780779648,0.0,0.0,0.1817507780779648,0.0
gen=24_member=2976_pso,50,111.28605767434495,109.8459283969095,1530.0,1870.0000000000002,1700.0,0.16866972460458207,0.15805519945834678,0.0,2.5163804046191856,2.843105328682115,2.6850501292237676,-0.16866972460458207,0.15805519945834723,0.0,6.083619595380814,5.756894671317885,5.914949870776232,0.16866972460458207,-0.15805519945834678,0.0,0.0,0.15805519945834678,0.0
gen=25_member=3126_pso,50,110.7456458264628,109.82082187647725,1530.0,1870.0000000000002,1700.0,0.16857942722723607,0.15796514317266386,0.0,2.5148603715411557,2.841404941941055,2.6834397987683913,-0.16857942722723562,0.15796514317266386,0.0,6.085139628458844,5.758595058058944,5.916560201231608,0.16857942722723607,-0.15796514317266386,0.0,0.0,0.15796514317266386,0.0
gen=26_member=3274_pso,50,112.82445245292094,112.07927088773285,1530.0,1870.0000000000002,1700.0,0.18754091907132686,0.17574136924114114,0.0,2.955547498424788,3.3188297867372554,3.143088417496115,-0.1875409190713273,0.17574136924114026,0.0,5.644452501575212,5.281170213262744,5.456911582503885,0.18754091907132686,-0.17574136924114114,0.0,0.0,0.17574136924114114,0.0
gen=27_member=3377_pso,50,113.5056141385198,113.33158190018415,1530.0,1870.0000000000002,1700.0,0.20699965007325805,0.1930993798966325,0.0,3.5635855098612352,3.9636845398311267,3.7705851599344937,-0.2069996500732585,0.19309937989663295,0.0,5.036414490138764,4.636315460168873,4.829414840065506,0.20699965007325805,-0.1930993798966325,0.0,0.0,0.1930993798966325,0.0
gen=27_member=3397_pso,50,113.58781394206393,112.63178913719814,1530.0,1870.0000000000002,1700.0,0.19228458501797707,0.18039517288424545,0.0,3.047557574967239,3.420237332869462,3.2398421599852165,-0.19228458501797752,0.18039517288424545,0.0,5.55244242503276,5.179762667130538,5.360157840014783,0.19228458501797707,-0.18039517288424545,0.0,0.0,0.18039517288424545,0.0
gen=28_member=3493_pso,50,112.70825437281928,111.98587538795978,1530.0,1870.0000000000002,1700.0,0.18348765273152967,0.1719360739779603,0.0,2.907319189567583,3.2627429162770727,3.090806842299113,-0.18348765273152967,0.17193607397795985,0.0,5.6926808104324165,5.3372570837229265,5.509193157700887,0.18348765273152967,-0.1719360739779603,0.0,0.0,0.1719360739779603,0.0
gen=29_member=3643_pso,50,104.2103519446892,102.35342522480737,1530.0,1870.0000000000002,1700.0,0.12501692879120263,0.11758959370488675,0.0,1.767839495759514,2.0104460182556028,1.8928564245507165,-0.1250169287912024,0.11758959370488631,0.0,6.832160504240486,6.589553981744396,6.707143575449283,0.12501692879120263,-0.11758959370488675,0.0,0.0,0.11758959370488675,0.0
gen=29_member=3677_pso,50,107.49075901812276,106.21526603405167,1530.0,1870.0000000000002,1700.0,0.13890515390752878,0.13033461809580693,0.0,2.070577230384387,2.339817002387723,2.209482384291916,-0.13890515390752922,0.13033461809580693,0.0,6.529422769615612,6.260182997612277,6.390517615708084,0.13890515390752878,-0.13033461809580693,0.0,0.0,0.13033461809580693,0.0
gen=30_member=3730_pso,50,113.79520213225304,113.21681184879121,1530.0,1870.0000000000002,1700.0,0.20119192891970084,0.1884509745951366,0.0,3.3452376244530972,3.734880527967935,3.5464295533727976,-0.2011919289197004,0.1884509745951375,0.0,5.254762375546902,4.865119472032065,5.053570446627202,0.20119192891970084,-0.1884509745951366,0.0,0.0,0.1884509745951366,0.0
gen=30_member=3743_pso,50,101.70001094966716,98.87435427861422,1530.0,1870.0000000000002,1700.0,0.11254996751688928,0.10627409941155719,0.0,1.6010390238400447,1.8198630907684907,1.713588991356934,-0.11254996751688928,0.10627409941155674,0.0,6.998960976159955,6.7801369092315085,6.886411008643066,0.11254996751688928,-0.10627409941155719,0.0,0.0,0.10627409941155719,0.0
gen=30_member=3767_pso,50,112.62120985927325,111.94017644161329,1530.0,1870.0000000000002,1700.0,0.18250577346829377,0.1711702215345392,0.0,2.8758429813988453,3.2295189764016787,3.058348754867139,-0.18250577346829377,0.17117022153453965,0.0,5.724157018601154,5.370481023598321,5.541651245132861,0.18250577346829377,-0.1711702215345392,0.0,0.0,0.1711702215345392,0.0
gen=31_member=3852_pso,50,113.20384734630632,112.4311769372547,1530.0,1870.0000000000002,1700.0,0.19315987138558022,0.18062427931946345,0.0,3.1769262252388244,3.550710375943868,3.3700860966244046,-0.19315987138558022,0.18062427931946345,0.0,5.423073774761175,5.049289624056131,5.229913903375595,0.19315987138558022,-0.18062427931946345,0.0,0.0,0.18062427931946345,0.0
gen=31_member=3912_pso,50,109.43586853534921,108.11778793382103,1530.0,1870.0000000000002,1700.0,0.15151425020922726,0.14157209383735836,0.0,2.2449935964021086,2.5380799404486947,2.3965078466113363,-0.1515142502092277,0.14157209383735836,0.0,6.355006403597891,6.061920059551305,6.203492153388663,0.15151425020922726,-0.14157209383735836,0.0,0.0,0.14157209383735836,0.0
gen=31_member=3915_pso,50,113.13347995202655,113.0032712800369,1530.0,1870.0000000000002,1700.0,0.20344890308243713,0.18979610436127903,0.0,3.4581352203206177,3.8513802277643334,3.661584123403055,-0.20344890308243713,0.18979610436127858,0.0,5.141864779679382,4.748619772235666,4.938415876596945,0.20344890308243713,-0.18979610436127903,0.0,0.0,0.18979610436127903,0.0
