real_name,obj_well
gen=3_member=344_pso,14028.312631401175167
gen=3_member=345_pso,12870.187991183680424
gen=3_member=346_pso,13347.056893209435657
gen=3_member=347_pso,12759.843393956103682
gen=3_member=348_pso,14516.23434830014412
gen=3_member=349_pso,15422.977874350879574
gen=3_member=350_pso,15109.827218872324011
gen=3_member=351_pso,14121.516516935982509
gen=3_member=352_pso,14280.856316613493618
gen=3_member=353_pso,13816.773648241565752
gen=3_member=354_pso,14928.880627107213513
gen=3_member=355_pso,15346.007117012679373
gen=3_member=356_pso,14267.270615241654014
gen=3_member=357_pso,15730.24930869272066
gen=3_member=358_pso,14686.069372522122649
gen=3_member=359_pso,14788.372266255355498
gen=3_member=360_pso,13074.177856244461509
gen=3_member=361_pso,15027.271797116753078
gen=3_member=362_pso,14635.674097257833637
gen=3_member=363_pso,15431.958123522777896
gen=3_member=364_pso,13014.769706996408786
gen=3_member=365_pso,15375.340252229314501
gen=3_member=366_pso,13559.671362755179871
gen=3_member=367_pso,14663.85113717051172
gen=3_member=368_pso,14691.373701724269267
gen=3_member=369_pso,14435.312445950681649
gen=3_member=370_pso,15298.756944313294298
gen=3_member=371_pso,14655.154211815308372
gen=3_member=372_pso,15503.297391783844432
gen=3_member=373_pso,14345.926721583429753
gen=3_member=374_pso,11569.832729058942277
gen=3_member=375_pso,14249.230912462104243
gen=3_member=376_pso,15484.060611029563006
gen=3_member=377_pso,16015.827065553632565
gen=3_member=378_pso,15207.803582617319989
gen=3_member=379_pso,14762.331917422176048
gen=3_member=380_pso,13185.990166340418
gen=3_member=381_pso,16057.248923887329511
gen=3_member=382_pso,13213.158968420641031
gen=3_member=383_pso,15744.823559097507314
gen=3_member=384_pso,14551.344794774784532
gen=3_member=385_pso,13450.410965974999272
gen=3_member=386_pso,13176.366652351489392
gen=3_member=387_pso,12985.527553463985896
gen=3_member=388_pso,15236.080233451237291
gen=3_member=389_pso,12927.802111278520897
gen=3_member=390_pso,16465.153420846374502
gen=3_member=391_pso,13784.181376642920441
gen=3_member=392_pso,15536.102215063767289
gen=3_member=393_pso,15628.556268337710208
gen=3_member=394_pso,15607.625866999540449
gen=3_member=395_pso,15961.121968656640092
gen=3_member=396_pso,14768.210294845282988
gen=3_member=397_pso,15266.397690908441291
gen=3_member=398_pso,16072.165007652034546
gen=3_member=399_pso,15115.248291963727752
gen=3_member=400_pso,15449.685989986735876
gen=3_member=401_pso,13664.92157898665937
gen=3_member=402_pso,16053.031975616981072
gen=3_member=403_pso,11913.640237829373291
gen=3_member=404_pso,14779.944896608370982
gen=3_member=405_pso,15192.750492875171403
gen=3_member=406_pso,13607.627063437639663
gen=3_member=407_pso,13514.528357956494801
gen=3_member=408_pso,15539.960200630017425
gen=3_member=409_pso,12163.887114821920477
gen=3_member=410_pso,16421.136157585668116
gen=3_member=411_pso,15611.007494833091187
gen=3_member=412_pso,13507.051628650206112
gen=3_member=413_pso,14106.697997591521926
gen=3_member=414_pso,13699.735748658360535
gen=3_member=415_pso,12747.620399589575754
gen=3_member=416_pso,16169.241621738370668
gen=3_member=417_pso,14340.941720698347126
gen=3_member=418_pso,14843.788088646499091
gen=3_member=419_pso,12445.146378907798862
gen=3_member=420_pso,15629.363867733596635
gen=3_member=421_pso,15721.996645894590984
gen=3_member=422_pso,16190.476879845209623
gen=3_member=423_pso,12592.164182991631606
gen=3_member=424_pso,15863.496801566123395
gen=3_member=425_pso,16106.245739613890692
gen=3_member=426_pso,14579.514657466937933
gen=3_member=427_pso,11963.399546954764446
gen=3_member=428_pso,13099.850566985849582
gen=3_member=429_pso,13214.044596754547456
gen=3_member=430_pso,15671.336370157923739
gen=3_member=431_pso,13829.511105362305898
gen=3_member=432_pso,16331.896502083924133
gen=3_member=433_pso,13087.465196803146682
gen=3_member=434_pso,14303.28427748420836
gen=3_member=435_pso,16268.024111193792123
gen=3_member=436_pso,15998.082552813591974
gen=3_member=437_pso,13623.167381017121443
gen=3_member=438_pso,13887.962828325349619
gen=3_member=439_pso,15885.711742819841675
gen=3_member=440_pso,15551.121703496306509
gen=3_member=441_pso,13996.828195323965701
gen=3_member=442_pso,14970.438681776629892
gen=3_member=443_pso,13431.770062944719029
gen=3_member=444_pso,15588.27666692310595
gen=3_member=445_pso,14194.147517796305692
gen=3_member=446_pso,13084.675398954010234
gen=3_member=447_pso,13566.654403157326669
gen=3_member=448_pso,13205.071085491767008
gen=3_member=449_pso,15332.399208172751969
gen=3_member=450_pso,14722.326554686935197
gen=3_member=451_pso,13287.047431993631108
gen=3_member=452_pso,14076.258387437321289
gen=3_member=453_pso,15065.38897582277059
gen=3_member=454_pso,13964.581978768061163
gen=3_member=455_pso,15480.21012992303622
gen=3_member=456_pso,15435.317821648459358
gen=3_member=457_pso,14661.133012742715437
gen=3_member=458_pso,14683.193388159917959
gen=3_member=459_pso,14456.727527497594565
gen=3_member=460_pso,15557.035219421417423
gen=3_member=461_pso,13939.919711221944453
gen=3_member=462_pso,14841.78806566660387
gen=3_member=463_pso,14731.627255740788314
gen=3_member=464_pso,13061.800008428610454
gen=3_member=465_pso,16216.119161964121304
gen=3_member=466_pso,13787.109753926841222
gen=3_member=467_pso,14199.475281344353789
gen=3_member=468_pso,15855.576416638381488
gen=3_member=469_pso,13107.391762891898907
gen=3_member=470_pso,15193.69930389237561
gen=3_member=471_pso,15405.942991143936524
gen=3_member=472_pso,12788.472451860459842
gen=3_member=473_pso,15437.860415261711751
gen=3_member=474_pso,14840.865275049254706
gen=3_member=475_pso,14876.585494231560006
gen=3_member=476_pso,14621.104887191586386
gen=3_member=477_pso,14512.827804981034205
gen=3_member=478_pso,15581.155996843621324
gen=3_member=479_pso,15018.746270929881575
gen=3_member=480_pso,13537.549269330747848
gen=3_member=481_pso,14282.066195744937431
gen=3_member=482_pso,15443.178117817875318
gen=3_member=483_pso,13856.406292237699745
gen=3_member=484_pso,15373.155529937768733
gen=3_member=485_pso,13321.164733814361171
gen=3_member=486_pso,14621.738910875828878
gen=3_member=487_pso,14975.099049607957568
gen=3_member=488_pso,14915.445384561080573
gen=3_member=489_pso,15509.568287882329969
gen=3_member=490_pso,13207.057040162315388
gen=3_member=491_pso,14804.461254812635161
gen=3_member=492_pso,14187.253103329108853
gen=3_member=493_pso,13751.422335652066977
gen=3_member=494_pso,13491.604038785819284
gen=3_member=495_pso,13983.236523627308998
gen=3_member=496_pso,15377.250639938169115
gen=3_member=497_pso,15549.553985905668014
gen=3_member=498_pso,13723.189390224695671
gen=3_member=499_pso,15748.722547012166615
gen=3_member=500_pso,15139.486930777393354
gen=3_member=501_pso,14875.421841367420711
gen=3_member=502_pso,13256.765543621197139
gen=3_member=503_pso,15479.51623237244894
gen=3_member=504_pso,15506.241440106949085
gen=3_member=505_pso,13715.552482892446278
gen=3_member=506_pso,14309.760243479669953
gen=3_member=507_pso,12949.598707574503351
gen=3_member=508_pso,15591.685703748065862
gen=3_member=509_pso,15687.833584997208163
gen=3_member=510_pso,14166.036692108118586
gen=3_member=511_pso,13160.745908860088093
gen=3_member=512_pso,13155.693854169276165
gen=3_member=513_pso,15157.101921338276952
gen=3_member=514_pso,12444.928936394331686
gen=3_member=515_pso,14646.524089291677228
