real_name,obj_well
gen=5_member=688_pso,14368.814537209036644
gen=5_member=689_pso,13624.615869873410702
gen=5_member=690_pso,12893.706521137972231
gen=5_member=691_pso,15322.421203033334677
gen=5_member=692_pso,13036.163493521062264
gen=5_member=693_pso,13374.100519165876904
gen=5_member=694_pso,15876.333889705514594
gen=5_member=695_pso,16097.929007752612961
gen=5_member=696_pso,12921.521943916333839
gen=5_member=697_pso,14366.343205734436197
gen=5_member=698_pso,14410.137228393474288
gen=5_member=699_pso,16253.682521957414792
gen=5_member=700_pso,10424.620742075543603
gen=5_member=701_pso,13205.416520326929458
gen=5_member=702_pso,13010.245047960628654
gen=5_member=703_pso,13825.389337419359435
gen=5_member=704_pso,12304.422670874404503
gen=5_member=705_pso,13937.99875773804888
gen=5_member=706_pso,13624.902327521980624
gen=5_member=707_pso,10215.65608252502534
gen=5_member=708_pso,14770.916903416115019
gen=5_member=709_pso,12215.296462614674965
gen=5_member=710_pso,11208.464661537709617
gen=5_member=711_pso,11487.570801981899422
gen=5_member=712_pso,12605.468795096359827
gen=5_member=713_pso,14371.197927651477585
gen=5_member=714_pso,16015.610881276164946
gen=5_member=715_pso,15750.135868215571463
gen=5_member=716_pso,15480.945188282379604
gen=5_member=717_pso,9394.2994530198120628
gen=5_member=718_pso,12799.134092546260945
gen=5_member=719_pso,13276.26007236336045
gen=5_member=720_pso,15810.493509287352936
gen=5_member=721_pso,13556.884834982769462
gen=5_member=722_pso,13150.688384468383447
gen=5_member=723_pso,13065.32553660184567
gen=5_member=724_pso,14399.576547692662643
gen=5_member=725_pso,10877.733716330505558
gen=5_member=726_pso,14448.938415113558221
gen=5_member=727_pso,16644.892805325969675
gen=5_member=728_pso,14033.122309779670104
gen=5_member=729_pso,14632.675018078103676
gen=5_member=730_pso,12018.73493682285698
gen=5_member=731_pso,12373.405778965061472
gen=5_member=732_pso,15047.478977656277493
gen=5_member=733_pso,10862.44832282639436
gen=5_member=734_pso,15284.585577245679815
gen=5_member=735_pso,15926.904629541824761
gen=5_member=736_pso,15451.526627039484083
gen=5_member=737_pso,11885.957817004638855
gen=5_member=738_pso,13910.48253172286968
gen=5_member=739_pso,14186.888481295885867
gen=5_member=740_pso,12169.565570635673794
gen=5_member=741_pso,15155.609211959037566
gen=5_member=742_pso,11929.176735175120484
gen=5_member=743_pso,15459.358993949450451
gen=5_member=744_pso,13733.041558991004422
gen=5_member=745_pso,15726.431637159776074
gen=5_member=746_pso,12519.977993694736142
gen=5_member=747_pso,13197.413097311689853
gen=5_member=748_pso,15355.754219149919663
gen=5_member=749_pso,15288.969358033911703
gen=5_member=750_pso,12175.139172639619574
gen=5_member=751_pso,14393.50079141389142
gen=5_member=752_pso,15060.169529885542943
gen=5_member=753_pso,13725.89713663746079
gen=5_member=754_pso,12024.723398309128243
gen=5_member=755_pso,10986.695154233981157
gen=5_member=756_pso,14605.314798934534338
gen=5_member=757_pso,14595.521531828011575
gen=5_member=758_pso,13632.367945309846618
gen=5_member=759_pso,14586.969541189338997
gen=5_member=760_pso,13761.99704887066946
gen=5_member=761_pso,14753.850133895020917
gen=5_member=762_pso,13169.361503910397005
gen=5_member=763_pso,16538.501963013935892
gen=5_member=764_pso,14256.957744218336302
gen=5_member=765_pso,13557.912758174004921
gen=5_member=766_pso,15559.747650334822538
gen=5_member=767_pso,14903.742568673838832
gen=5_member=768_pso,13308.032368744396081
gen=5_member=769_pso,15125.487794475215196
gen=5_member=770_pso,13264.297983660044338
gen=5_member=771_pso,14237.047088108252865
gen=5_member=772_pso,14668.627314083340025
gen=5_member=773_pso,12945.116470104227119
gen=5_member=774_pso,12072.269247893007559
gen=5_member=775_pso,13443.828953029926197
gen=5_member=776_pso,12557.586143640090086
gen=5_member=777_pso,11834.297475103190664
gen=5_member=778_pso,13794.641471987473778
gen=5_member=779_pso,15301.922179981989757
gen=5_member=780_pso,15427.822859605534177
gen=5_member=781_pso,14768.560496702186356
gen=5_member=782_pso,13968.030159853353325
gen=5_member=783_pso,14941.604770412597645
gen=5_member=784_pso,13962.214931292312031
gen=5_member=785_pso,15154.240330536982583
gen=5_member=786_pso,12256.439151873024457
gen=5_member=787_pso,11688.184698919905713
gen=5_member=788_pso,12769.53048642543763
gen=5_member=789_pso,16000.614411352622483
gen=5_member=790_pso,11464.943913385706765
gen=5_member=791_pso,13290.261278762478469
gen=5_member=792_pso,15465.987802932804698
gen=5_member=793_pso,16443.510117893540155
gen=5_member=794_pso,14443.706460150531711
gen=5_member=795_pso,16422.337600639137236
gen=5_member=796_pso,14392.334847731690388
gen=5_member=797_pso,14767.335625702033212
gen=5_member=798_pso,13192.960053873481229
gen=5_member=799_pso,10983.105313448962988
gen=5_member=800_pso,14615.6567327818575
gen=5_member=801_pso,14809.576170006959728
gen=5_member=802_pso,14110.84257951307336
gen=5_member=803_pso,13518.829926960634111
gen=5_member=804_pso,13630.588351149412119
gen=5_member=805_pso,14163.24312596848722
gen=5_member=806_pso,14273.640764412164572
gen=5_member=807_pso,10989.540334132707358
gen=5_member=808_pso,12411.497586879198934
gen=5_member=809_pso,14944.854091036650061
gen=5_member=810_pso,14481.833610469921041
gen=5_member=811_pso,14304.903148157774922
gen=5_member=812_pso,13760.699680176192487
gen=5_member=813_pso,12192.635200707549302
gen=5_member=814_pso,15262.865832099416366
gen=5_member=815_pso,13257.306507810275434
gen=5_member=816_pso,11987.429579376523179
gen=5_member=817_pso,16456.604834927282354
gen=5_member=818_pso,14350.771235566124233
gen=5_member=819_pso,12696.10295354183836
gen=5_member=820_pso,14859.495027247539838
gen=5_member=821_pso,15209.991850615648218
gen=5_member=822_pso,14365.87803378179342
gen=5_member=823_pso,14482.770671504844358
gen=5_member=824_pso,16200.721015430961415
gen=5_member=825_pso,14159.478490225752466
gen=5_member=826_pso,14854.456635494112561
gen=5_member=827_pso,13344.48681067855432
gen=5_member=828_pso,12044.525014989743795
gen=5_member=829_pso,12691.575085870323164
gen=5_member=830_pso,12141.371284539112821
