generation,member,lpr:total_combined:bdpl,obj_well,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
3,gen=1_member=171_pso,4.00606,15584.1,1,0.022246,0.00648977,0.00648977,1,-999
3,gen=2_member=314_pso,3.97259,15529,2,0.137404,0.00614963,0.00614963,1,-999
3,gen=2_member=249_pso,3.3882,14140.9,2,0.0256371,0.00442015,0.00442015,1,-999
3,116,4.42483,16564,1,0.000728899,0.00161941,0.00161941,1,-999
3,gen=3_member=374_pso,2.45024,11569.8,1,1e+30,0.000457961,0.000457961,1,-999
3,gen=3_member=364_pso,2.6593,13014.8,1,0.132326,0.0011426,0.0011426,1,-999
3,gen=3_member=446_pso,2.85024,13084.7,1,0.108877,0.00124179,0.00124179,1,-999
3,gen=3_member=456_pso,3.73989,15435.3,1,0.104656,4.00392,4.00392,1,-999
3,gen=3_member=361_pso,3.61814,15027.3,1,0.103135,3.00291,3.00291,1,-999
3,gen=3_member=376_pso,3.86223,15484.1,1,0.0954327,4.00482,4.00482,1,-999
3,gen=3_member=514_pso,2.54161,12444.9,1,0.0896342,0.000764238,0.000764238,1,-999
3,gen=3_member=493_pso,2.99533,13751.4,1,0.0876356,1.00228,1.00228,1,-999
3,gen=3_member=416_pso,4.27673,16169.2,1,0.0761913,1.00252,1.00252,1,-999
3,gen=3_member=438_pso,3.13433,13888,1,0.0734185,0.00324481,0.00324481,1,-999
3,gen=3_member=445_pso,3.32183,14194.1,1,0.072791,8.00411,8.00411,1,-999
3,gen=3_member=354_pso,3.49934,14928.9,1,0.0689202,7.00392,7.00392,1,-999
3,gen=3_member=492_pso,3.17059,14187.3,1,0.0665702,8.004,8.004,1,-999
3,gen=3_member=358_pso,3.45739,14686.1,1,0.06528,7.00297,7.00297,1,-999
3,gen=3_member=478_pso,3.96247,15581.2,1,0.0616679,3.00637,3.00637,1,-999
3,gen=3_member=369_pso,3.34708,14435.3,1,0.0501753,13.004,13.004,1,-999
3,gen=3_member=499_pso,4.1014,15748.7,1,0.0475119,2.00451,2.00451,1,-999
3,gen=3_member=422_pso,4.33714,16190.5,1,0.036408,0.00266278,0.00266278,1,-999
3,gen=3_member=366_pso,2.92994,13559.7,1,0.0351962,0.00209645,0.00209645,1,-999
3,gen=3_member=511_pso,2.91324,13160.7,1,0.0341677,0.00137133,0.00137133,1,-999
3,gen=3_member=468_pso,4.12517,15855.6,1,0.0248845,2.00362,2.00362,1,-999
3,gen=3_member=356_pso,3.34036,14267.3,1,0.0108292,13.0051,13.0051,1,-999
4,152,4.78258,17542.8,1,1e+30,0.000925205,0.000925205,1,-999
4,gen=3_member=374_pso,2.45024,11569.8,2,1e+30,0.000862751,0.000862751,1,-999
4,gen=3_member=364_pso,2.6593,13014.8,2,0.156304,0.00345001,0.00345001,1,-999
4,16,4.48927,17265.5,1,0.0901677,0.00124455,0.00124455,1,-999
4,gen=3_member=446_pso,2.85024,13084.7,2,0.128606,0.00277963,0.00277963,1,-999
4,gen=3_member=456_pso,3.73989,15435.3,2,0.244745,0.00420565,0.00420565,1,-999
4,gen=3_member=361_pso,3.61814,15027.3,2,0.121823,0.00243875,0.00243875,1,-999
4,gen=3_member=376_pso,3.86223,15484.1,1,0.0504984,0.00481814,0.00481814,1,-999
4,130,4.69071,17325,1,0.0723468,0.00115871,0.00115871,1,-999
4,gen=3_member=514_pso,2.54161,12444.9,2,0.105876,0.00155825,0.00155825,1,-999
4,gen=3_member=493_pso,2.99533,13751.4,1,0.0125805,0.0032403,0.0032403,1,-999
4,gen=3_member=416_pso,4.27673,16169.2,1,0.0604528,0.00448985,0.00448985,1,-999
4,gen=3_member=438_pso,3.13433,13888,2,0.128296,0.00302763,0.00302763,1,-999
4,gen=3_member=445_pso,3.32183,14194.1,2,0.0859806,0.00324481,0.00324481,1,-999
4,gen=3_member=354_pso,3.49934,14928.9,2,0.0814084,0.00261145,0.00261145,1,-999
4,gen=3_member=492_pso,3.17059,14187.3,2,0.0786326,0.00331906,0.00331906,1,-999
4,gen=3_member=358_pso,3.45739,14686.1,2,0.0771086,0.00291373,0.00291373,1,-999
4,gen=2_member=257_pso,4.15944,15948.5,2,0.107352,0.00383277,0.00383277,1,-999
4,gen=3_member=478_pso,3.96247,15581.2,1,0.0447303,0.00589739,0.00589739,1,-999
4,gen=3_member=369_pso,3.34708,14435.3,2,0.059267,0.00395637,0.00395637,1,-999
4,gen=3_member=499_pso,4.1014,15748.7,2,0.195123,0.00375007,0.00375007,1,-999
4,gen=2_member=235_pso,4.01435,15689.6,1,0.023533,0.00408139,0.00408139,1,-999
4,95,4.70127,17459.9,1,0.0313527,0.00100209,0.00100209,1,-999
4,68,4.36164,16294.3,2,0.0443918,0.00452762,0.00452762,1,-999
4,gen=3_member=422_pso,4.33714,16190.5,2,0.102406,0.00409904,0.00409904,1,-999
4,gen=3_member=366_pso,2.92994,13559.7,1,0.0470041,0.0027146,0.0027146,1,-999
4,gen=3_member=511_pso,2.91324,13160.7,2,0.143874,0.00312326,0.00312326,1,-999
