real_name,obj_well
152,17542.837279493985989
gen=4_member=525_pso,10596.942630631287102
gen=4_member=535_pso,11331.302213328015569
16,17265.4976240203614
gen=4_member=590_pso,14965.730087191326675
gen=4_member=547_pso,12428.135480678085514
gen=4_member=545_pso,15446.595302814415845
gen=4_member=531_pso,15122.97825307473795
gen=4_member=593_pso,14577.868683536973549
130,17325.020546659376123
gen=4_member=638_pso,13478.924531033844687
gen=4_member=588_pso,16075.426857576187103
gen=4_member=660_pso,11581.707652777447947
gen=3_member=416_pso,16169.241621738370668
gen=4_member=541_pso,13193.292798776559721
gen=4_member=526_pso,12700.746036831471429
gen=4_member=591_pso,15199.542391170140036
gen=4_member=619_pso,13546.462367188240023
gen=3_member=376_pso,15484.060611029563006
gen=4_member=648_pso,13000.916924780889531
gen=4_member=659_pso,14058.036148319506538
gen=4_member=530_pso,15333.752479898996171
gen=3_member=366_pso,13559.671362755179871
gen=3_member=478_pso,15581.155996843621324
gen=4_member=669_pso,14369.298638758165907
gen=4_member=581_pso,13167.615703641387881
gen=4_member=564_pso,15527.451273690398011
gen=4_member=661_pso,16490.017890239847475
gen=4_member=563_pso,16035.350035649873462
gen=4_member=548_pso,12958.315569017526286
95,17459.9108550814708
gen=4_member=675_pso,14547.952238451545782
gen=4_member=571_pso,16307.324601574426197
gen=2_member=235_pso,15689.609429594407629
gen=4_member=628_pso,13640.024886147575671
156,16882.312566035940108
gen=4_member=671_pso,12726.915628893108078
116,16564.024390986749495
gen=1_member=171_pso,15584.12240416540044
gen=4_member=565_pso,16215.057585339429352
gen=3_member=493_pso,13751.422335652066977
