real_name,obj_well
152,17542.837279493985989
gen=5_member=717_pso,9394.2994530198120628
gen=8_member=1311_pso,15027.077450386348573
gen=8_member=1320_pso,12286.60022103292431
gen=8_member=1309_pso,11376.574457345453993
gen=8_member=1232_pso,15097.727214660866593
gen=8_member=1207_pso,14044.299312242657834
gen=8_member=1350_pso,15704.337840390489873
gen=8_member=1268_pso,13509.276037026655104
gen=8_member=1208_pso,13223.456818822849527
16,17265.4976240203614
gen=8_member=1215_pso,15545.014569850551197
gen=7_member=1113_pso,13966.189054654954816
gen=8_member=1235_pso,12439.758764106310991
130,17325.020546659376123
gen=8_member=1206_pso,9997.7257585034876683
gen=7_member=1194_pso,16161.404681907239137
gen=8_member=1259_pso,14190.625688512149281
gen=8_member=1277_pso,14716.409060008494635
gen=5_member=715_pso,15750.135868215571463
gen=5_member=789_pso,16000.614411352622483
gen=6_member=878_pso,16185.550993370274227
gen=7_member=1048_pso,15950.956508457411474
gen=7_member=1085_pso,16252.161324085604065
gen=8_member=1225_pso,16364.566852116871814
gen=8_member=1229_pso,12546.943149259484926
gen=7_member=1157_pso,15382.233419984424472
gen=8_member=1217_pso,10476.827492335562056
gen=8_member=1292_pso,14199.151917165323539
gen=8_member=1257_pso,14504.460760593707164
95,17459.9108550814708
gen=8_member=1359_pso,13859.224034327889967
gen=8_member=1296_pso,15152.816264059001696
gen=7_member=1051_pso,16502.480592758478451
gen=8_member=1272_pso,16393.097339262370951
gen=8_member=1365_pso,15931.180144563868453
gen=8_member=1209_pso,10927.214706498796659
gen=6_member=1016_pso,16507.554241959245701
gen=8_member=1297_pso,16449.437834008673235
gen=7_member=1050_pso,12903.83635795164264
gen=7_member=1174_pso,15344.782358310829295
156,16882.312566035940108
gen=6_member=900_pso,15822.567063620621411
gen=7_member=1052_pso,10695.674690925185132
gen=8_member=1275_pso,15862.847720452353315
gen=8_member=1265_pso,10552.943409486275414
116,16564.024390986749495
