real_name,obj_well
152,17542.837279493985989
gen=27_member=4473_pso,7140.3495753500355931
16,17265.4976240203614
130,17325.020546659376123
gen=28_member=4698_pso,8808.1394662353413878
gen=30_member=5150_pso,16372.505057366426627
gen=29_member=4871_pso,8008.7509819271763263
gen=30_member=5073_pso,14052.729659424652709
gen=22_member=3682_pso,11328.259598384949641
95,17459.9108550814708
gen=26_member=4462_pso,16396.275644426321378
156,16882.312566035940108
gen=30_member=5049_pso,15574.00339918726786
gen=30_member=5052_pso,15596.757107276376701
gen=28_member=4713_pso,15745.006678662539343
gen=30_member=5139_pso,15933.331302113061611
gen=22_member=3766_pso,16604.020705664202978
gen=24_member=4081_pso,12355.045333860105529
gen=27_member=4484_pso,13732.691579075572008
gen=30_member=5050_pso,15752.079534417536706
gen=28_member=4658_pso,12831.551723317683354
gen=28_member=4686_pso,12487.256818499239671
gen=29_member=4847_pso,15898.62771490877094
gen=28_member=4728_pso,11249.486499062944858
gen=27_member=4566_pso,15351.282202197258812
gen=30_member=5012_pso,9973.1044013099144649
gen=23_member=3814_pso,14106.5261569570539
gen=26_member=4346_pso,13644.993762730715389
gen=30_member=5016_pso,9312.2816438124082197
gen=30_member=5100_pso,15960.160172345584215
gen=27_member=4610_pso,12679.046659046976856
gen=25_member=4278_pso,13023.844597842275107
gen=21_member=3450_pso,14855.895401996267537
gen=28_member=4675_pso,15989.159948835662362
gen=24_member=4007_pso,16157.200809639511135
gen=29_member=4924_pso,14956.108725277157646
gen=29_member=4858_pso,16528.451088574311143
gen=27_member=4631_pso,14459.863982204609783
gen=27_member=4492_pso,12282.539603030163562
gen=30_member=5127_pso,15837.011321108837365
gen=27_member=4641_pso,13550.889698391007187
gen=30_member=5111_pso,13568.300956569197297
gen=23_member=3947_pso,9462.8759234938333975
gen=29_member=4964_pso,15357.949436214270463
gen=29_member=4835_pso,13986.93497555914837
gen=30_member=4993_pso,13021.938175682194924
gen=12_member=2037_pso,16604.756937212194316
gen=27_member=4525_pso,13237.371073842554324
gen=27_member=4535_pso,15517.91694962098336
gen=23_member=3849_pso,16515.895338132188044
gen=28_member=4755_pso,11753.860979279166713
gen=29_member=4901_pso,12887.809752425833722
gen=29_member=4870_pso,15501.601380359828909
gen=29_member=4851_pso,15827.772653849262497
gen=22_member=3697_pso,12529.607024193046527
gen=28_member=4806_pso,16308.511231838263484
gen=29_member=4898_pso,16125.301559230974817
gen=30_member=5158_pso,16312.946766716768252
gen=30_member=5130_pso,13168.84569281842596
gen=18_member=3072_pso,16676.349581361693708
gen=22_member=3637_pso,8992.9200089764035511
gen=25_member=4256_pso,14794.913216692169954
gen=21_member=3553_pso,16676.907052143953479
gen=26_member=4310_pso,16230.465722318242115
gen=27_member=4527_pso,9828.6542047096590977
gen=30_member=5089_pso,15083.652299653975206
gen=29_member=4955_pso,15411.87963209597001
gen=27_member=4533_pso,15427.122694090272489
gen=25_member=4217_pso,13810.322115293023671
gen=26_member=4333_pso,13099.001875776613815
gen=30_member=5088_pso,16225.468816924449129
gen=30_member=4999_pso,15254.912622555484631
gen=27_member=4512_pso,14170.134103338292334
gen=23_member=3906_pso,14961.543557380007769
gen=30_member=5026_pso,16483.174611407041084
gen=30_member=5155_pso,15314.609136660306831
gen=27_member=4481_pso,15275.959371865748835
gen=30_member=5135_pso,13280.150613576359319
gen=30_member=5123_pso,15073.773864741326179
