member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=45_member=7630_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,20.27341864,20.273425248681576,98.88595444868157,0.964314,1.062577233854192,7.5374227661458075
gen=41_member=7002_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.456018,31.456010064777686,110.0685392647777,2.09323,2.2508472346513457,6.349152765348654
gen=44_member=7416_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,22.539562,22.53949283051267,101.15202203051267,1.03735,1.1432092986863989,7.456790701313601
gen=48_member=8130_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.2965668,30.29664546331896,108.90917466331896,1.8663,2.01282867062127,6.58717132937873
gen=42_member=7150_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,23.0183592,23.018345966531463,101.63087516653145,1.08725,1.1916571165239704,7.408342883476029
gen=46_member=7861_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.5779672,36.57795625745423,115.19048545745423,4.0076,4.2421191208334035,4.357880879166596
gen=47_member=8013_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,24.1898416,24.189885878306495,102.80241507830647,1.14776,1.2591681457732031,7.3408318542267965
gen=34_member=5833_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.536045018038564,4.063954981961436
gen=29_member=4835_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.1802889207081,6.4197110792919
gen=43_member=7309_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.36244,28.362383210764136,106.97491241076413,1.53641,1.6663881703617545,6.933611829638245
gen=42_member=7162_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.2657488,34.265693983561704,112.87822318356172,2.92099,3.1160744360260555,5.483925563973944
gen=43_member=7394_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.881746726108396,6.718253273891603
gen=47_member=7994_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,27.7078536,27.707961235794844,106.32049043579485,1.42551,1.5496830240856254,7.050316975914374
gen=48_member=8212_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.3835376277781029,7.216462372221897
gen=34_member=5718_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,19.217970479999998,19.217975104740983,97.83050430474097,0.92753,1.0158368188984293,7.58416318110157
gen=40_member=6749_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.0337384,32.033822459218676,110.64635165921867,2.22633,2.3904339027973056,6.2095660972026945
gen=45_member=7712_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.3699969760385904,6.230003023961409
gen=49_member=8286_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.885799199999997,31.88574680923485,110.49827600923484,2.18552,2.3478734020200345,6.252126597979965
gen=47_member=7987_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.475391777896901,6.124608222103099
gen=42_member=7104_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.597031579142833,4.002968420857167
gen=44_member=7536_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,23.466855600000002,23.46684587614881,102.0793750761488,1.11985,1.2271825914835064,7.372817408516493
gen=38_member=6480_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.4072248,31.407133065935877,110.01966226593586,2.07448,2.233508918327905,6.366491081672095
gen=43_member=7269_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.833296,36.83339971387087,115.44592891387086,4.14372,4.382463931409228,4.217536068590771
gen=35_member=5948_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.07392,37.07384621264411,115.68637541264411,4.33924,4.583564803521777,4.016435196478223
gen=29_member=4871_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,17.843495,17.843497187733753,96.45602638773376,0.881544,0.9677033221298371,7.632296677870163
gen=36_member=6031_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.3383796,31.338390787551674,109.95091998755169,2.05415,2.211501476789765,6.3884985232102345
gen=39_member=6689_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.4165068,29.416418185838467,108.02894738583845,1.67871,1.8161107439190056,6.783889256080994
gen=46_member=7811_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.8479968,30.84800808580873,109.46053728580873,1.95962,2.111695555185379,6.48830444481462
gen=36_member=6150_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.510305600000002,29.510270949002532,108.12280014900254,1.71536,1.8547487481180625,6.745251251881937
gen=28_member=4698_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,19.62453592,19.62453473077234,98.23706393077234,0.948853,1.0442350669883056,7.5557649330116945
gen=45_member=7580_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.8306964432339645,6.769303556766035
gen=37_member=6318_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.3585092,36.35850397821222,114.97103317821221,3.89263,4.121620466327055,4.478379533672944
gen=39_member=6634_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.24659,37.24656995207669,115.8590991520767,4.3792,4.624761522845632,3.9752384771543676
gen=46_member=7788_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.533256,32.533172613400616,111.1457018134006,2.35444,2.524581917221724,6.075418082778276
gen=46_member=7881_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.5010896903371487,7.098910309662851
gen=27_member=4566_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.2026964,34.20265674649548,112.8151859464955,2.87573,3.0716601921647673,5.528339807835232
gen=39_member=6698_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.52026,33.52015097310551,112.13268017310553,2.6497,2.8332161782516763,5.766783821748323
gen=41_member=6986_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.7676436,35.767651554973604,114.38018075497361,3.58673,3.809485809688409,4.79051419031159
