member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=46_member=7840_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,27.838414399999998,27.838357196260656,106.45088639626066,1.46259,1.2154997151695501,7.38450028483045
gen=36_member=6076_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.071692,37.07165394641189,115.6841831464119,4.31441,3.8215776990879826,4.778422300912017
gen=39_member=6576_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,24.576845199999998,24.57679423226629,103.18932343226629,1.21064,0.9890392502778876,7.610960749722112
gen=46_member=7833_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.5533855100931864,7.046614489906814
gen=36_member=6039_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.2367848,34.236759922666806,112.84928912266682,2.88658,2.502774237192936,6.097225762807064
gen=45_member=7630_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,20.27341864,20.273425248681576,98.88595444868157,0.964314,0.775515579136557,7.824484420863443
gen=41_member=7002_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.456018,31.456010064777686,110.0685392647777,2.09323,1.7855168646900832,6.814483135309916
gen=44_member=7416_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,22.539562,22.53949283051267,101.15202203051267,1.03735,0.8329882717384335,7.767011728261566
gen=48_member=8130_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,30.2965668,30.29664546331896,108.90917466331896,1.8663,1.5805185566315887,7.019481443368411
gen=42_member=7150_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,23.0183592,23.018345966531463,101.63087516653145,1.08725,0.8857105037954983,7.714289496204501
