member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
152,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.782582221327706,3.8174177786722936
gen=36_member=6021_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,15.73043752,15.730428646974957,94.34295784697495,0.811083,0.8110833649714819,7.788916635028517
16,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,38.467534,38.46752870631738,117.08005790631736,4.48927,4.48927359274029,4.11072640725971
130,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,38.6001,38.60014577795708,117.21267497795709,4.69071,4.690710603433735,3.9092893965662645
95,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,38.900657200000005,38.90068138512153,117.51321058512153,4.70127,4.701268362481826,3.898731637518174
156,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.426495814043807,4.173504185956193
gen=47_member=7948_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,28.5299856,28.529932454502454,107.14246165450244,1.5703,1.5702986372987253,7.0297013627012745
gen=48_member=8161_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.1702608914176444,7.429739108582355
gen=33_member=5661_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.8916696,36.89173247767671,115.50426167767671,4.21575,4.215754201843511,4.384245798156488
gen=47_member=7921_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.271007614577858,4.328992385422142
gen=40_member=6722_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.6556098007990285,6.944390199200971
gen=48_member=8113_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.2324017299968775,4.367598270003122
gen=48_member=8218_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.0339881916399385,4.566011808360061
gen=42_member=7058_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,17.825114,17.82511697626178,96.4376461762618,0.864582,0.8645822572117033,7.735417742788297
gen=48_member=8245_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.87897,36.87888641911074,115.49141561911075,4.17121,4.171206890714568,4.428793109285432
gen=41_member=6922_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.1159516,32.11592080418332,110.72845000418333,2.24821,2.2482108318387106,6.3517891681612895
gen=41_member=6885_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.8285654379401013,7.771434562059898
gen=37_member=6262_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.2424981099154608,7.357501890084539
gen=39_member=6554_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,22.91498,22.91493475179726,101.52746395179726,1.07599,1.0759853155948573,7.5240146844051425
gen=44_member=7409_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.026161199999997,29.02617500954204,107.63870420954201,1.61819,1.6181922753542437,6.981807724645756
gen=33_member=5597_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,20.425457360000003,20.425447005160812,99.03797620516082,0.993719,0.9937193119614067,7.606280688038593
gen=35_member=5926_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,28.758578399999998,28.75848621927199,107.371015419272,1.60584,1.605844123518042,6.994155876481957
gen=42_member=7147_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.785394,36.78548226240043,115.39801146240043,4.12536,4.125357521076859,4.4746424789231405
gen=47_member=7992_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.303181200000004,37.30318347661641,115.91571267661642,4.41535,4.415352874721831,4.184647125278168
