representative_position,member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,expected_streamflow_cfs,streamflow_p05_cfs,streamflow_p95_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,streamflow_std_cfs
low_pumping,gen=36_member=6021_pso,15.730428646974955,7.788916635028518,7.790116049388856,7.665405210396542,7.890374026556611,0.0537414408988149,0.0262710132692386,0.066849989772993
middle_pumping,gen=41_member=6969_pso,34.01408910075473,5.782266361609008,5.786539531211759,5.477867095306225,6.038872074163236,0.1343877606711445,0.0650572955341965,0.1672598764115763
high_pumping,152,39.0854414587126,3.817417778672291,3.8252803114187928,3.4148615932209427,4.167449813273267,0.1808046648891381,0.0864710660713179,0.2252414572903994
