scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,T_factor,T_value,S_factor,S_value,n_members,mean_pumping_objective_cfs,min_pumping_objective_cfs,max_pumping_objective_cfs,mean_depletion_cfs,min_depletion_cfs,max_depletion_cfs,mean_streamflow_cfs,min_streamflow_cfs,max_streamflow_cfs,mean_depletion_change_from_baseline_cfs,mean_streamflow_change_from_baseline_cfs,mean_absolute_depletion_error_cfs,max_absolute_depletion_error_cfs,mean_absolute_streamflow_error_cfs,max_absolute_streamflow_error_cfs,mean_streamflow_shortfall_below_baseline_cfs,max_streamflow_shortfall_below_baseline_cfs
T_minus_10pct,,,,,,,0.9,1530.0,,,296,32.554952002064624,15.730428646974955,39.0854414587126,2.572422135239148,0.7368285623823636,4.528502874618582,6.027577864760852,4.071497125381418,7.863171437617636,-0.17649838281863942,0.17649838281863942,0.17649838281863942,0.25407934670912713,0.17649838281863942,0.25407934670912713,0.0,0.0
baseline_T,,,,,,,1.0,1700.0,,,296,32.554952002064624,15.730428646974955,39.0854414587126,2.7489205180577874,0.8110833649714815,4.782582221327709,5.851079481942212,3.817417778672291,7.788916635028518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_plus_10pct,,,,,,,1.1,1870.0,,,296,32.554952002064624,15.730428646974955,39.0854414587126,2.915062817979984,0.8824903568961786,5.018204985443435,5.684937182020016,3.5817950145565645,7.717509643103821,0.16614229992219648,-0.16614229992219648,0.16614229992219648,0.23562276411572647,0.16614229992219648,0.23562276411572647,0.16614229992219648,0.23562276411572647
