scenario,scenario_label,T_multiplier,generation,member,nsga2_front,q_total_from_wells,lpr:total_combined:bdpl
baseline,Baseline T,1.0,3,gen=3_member=446_pso,1,,2.85024
baseline,Baseline T,1.0,3,gen=3_member=456_pso,1,,3.73989
baseline,Baseline T,1.0,3,gen=3_member=361_pso,1,,3.61814
baseline,Baseline T,1.0,3,gen=3_member=376_pso,1,,3.86223
baseline,Baseline T,1.0,3,gen=3_member=514_pso,1,,2.54161
baseline,Baseline T,1.0,3,gen=3_member=493_pso,1,,2.99533
baseline,Baseline T,1.0,3,gen=3_member=416_pso,1,,4.27673
baseline,Baseline T,1.0,3,gen=3_member=438_pso,1,,3.13433
baseline,Baseline T,1.0,3,gen=3_member=445_pso,1,,3.32183
baseline,Baseline T,1.0,3,gen=3_member=354_pso,1,,3.49934
baseline,Baseline T,1.0,3,gen=3_member=492_pso,1,,3.17059
baseline,Baseline T,1.0,3,gen=3_member=358_pso,1,,3.45739
baseline,Baseline T,1.0,3,gen=3_member=478_pso,1,,3.96247
baseline,Baseline T,1.0,3,gen=3_member=369_pso,1,,3.34708
baseline,Baseline T,1.0,3,gen=3_member=499_pso,1,,4.1014
baseline,Baseline T,1.0,3,gen=3_member=422_pso,1,,4.33714
baseline,Baseline T,1.0,3,gen=3_member=366_pso,1,,2.92994
baseline,Baseline T,1.0,3,gen=3_member=511_pso,1,,2.91324
baseline,Baseline T,1.0,3,gen=3_member=468_pso,1,,4.12517
baseline,Baseline T,1.0,3,gen=3_member=356_pso,1,,3.34036
baseline,Baseline T,1.0,4,152,1,,4.78258
baseline,Baseline T,1.0,4,gen=3_member=374_pso,2,,2.45024
baseline,Baseline T,1.0,4,gen=3_member=364_pso,2,,2.6593
baseline,Baseline T,1.0,4,16,1,,4.48927
baseline,Baseline T,1.0,4,gen=3_member=446_pso,2,,2.85024
baseline,Baseline T,1.0,4,gen=3_member=456_pso,2,,3.73989
baseline,Baseline T,1.0,4,gen=3_member=361_pso,2,,3.61814
baseline,Baseline T,1.0,4,gen=3_member=376_pso,1,,3.86223
baseline,Baseline T,1.0,4,130,1,,4.69071
baseline,Baseline T,1.0,4,gen=3_member=514_pso,2,,2.54161
baseline,Baseline T,1.0,4,gen=3_member=493_pso,1,,2.99533
baseline,Baseline T,1.0,4,gen=3_member=416_pso,1,,4.27673
baseline,Baseline T,1.0,4,gen=3_member=438_pso,2,,3.13433
baseline,Baseline T,1.0,4,gen=3_member=445_pso,2,,3.32183
baseline,Baseline T,1.0,4,gen=3_member=354_pso,2,,3.49934
baseline,Baseline T,1.0,4,gen=3_member=492_pso,2,,3.17059
baseline,Baseline T,1.0,4,gen=3_member=358_pso,2,,3.45739
baseline,Baseline T,1.0,4,gen=2_member=257_pso,2,,4.15944
baseline,Baseline T,1.0,4,gen=3_member=478_pso,1,,3.96247
baseline,Baseline T,1.0,4,gen=3_member=369_pso,2,,3.34708
baseline,Baseline T,1.0,4,gen=3_member=499_pso,2,,4.1014
baseline,Baseline T,1.0,4,gen=2_member=235_pso,1,,4.01435
baseline,Baseline T,1.0,4,95,1,,4.70127
baseline,Baseline T,1.0,4,68,2,,4.36164
baseline,Baseline T,1.0,4,gen=3_member=422_pso,2,,4.33714
baseline,Baseline T,1.0,4,gen=3_member=366_pso,1,,2.92994
baseline,Baseline T,1.0,4,gen=3_member=511_pso,2,,2.91324
baseline,Baseline T,1.0,4,156,1,,4.4265
baseline,Baseline T,1.0,4,121,2,,4.4248
baseline,Baseline T,1.0,4,gen=3_member=468_pso,2,,4.12517
baseline,Baseline T,1.0,4,gen=1_member=171_pso,1,,4.00606
baseline,Baseline T,1.0,4,gen=2_member=266_pso,2,,3.16656
baseline,Baseline T,1.0,4,gen=3_member=356_pso,2,,3.34036
baseline,Baseline T,1.0,4,116,1,,4.42483
baseline,Baseline T,1.0,4,gen=4_member=525_pso,1,,1.85232
baseline,Baseline T,1.0,4,gen=4_member=535_pso,1,,2.08426
baseline,Baseline T,1.0,4,gen=4_member=590_pso,1,,3.35846
baseline,Baseline T,1.0,4,gen=4_member=547_pso,1,,2.26532
baseline,Baseline T,1.0,4,gen=4_member=545_pso,1,,3.72701
baseline,Baseline T,1.0,4,gen=4_member=531_pso,1,,3.48502
baseline,Baseline T,1.0,4,gen=4_member=593_pso,1,,3.22592
baseline,Baseline T,1.0,4,gen=4_member=638_pso,1,,2.78195
baseline,Baseline T,1.0,4,gen=4_member=588_pso,1,,4.11085
baseline,Baseline T,1.0,4,gen=4_member=660_pso,1,,2.1457
baseline,Baseline T,1.0,4,gen=4_member=541_pso,1,,2.63598
baseline,Baseline T,1.0,4,gen=4_member=526_pso,1,,2.401
baseline,Baseline T,1.0,4,gen=4_member=591_pso,1,,3.5843
baseline,Baseline T,1.0,4,gen=4_member=619_pso,1,,2.84569
baseline,Baseline T,1.0,4,gen=4_member=648_pso,1,,2.5288
baseline,Baseline T,1.0,4,gen=4_member=659_pso,1,,3.02029
baseline,Baseline T,1.0,4,gen=4_member=530_pso,1,,3.63433
baseline,Baseline T,1.0,4,gen=4_member=669_pso,1,,3.13875
baseline,Baseline T,1.0,4,gen=4_member=581_pso,1,,2.60917
baseline,Baseline T,1.0,4,gen=4_member=564_pso,1,,3.87499
baseline,Baseline T,1.0,4,gen=4_member=661_pso,1,,4.37433
baseline,Baseline T,1.0,4,gen=4_member=563_pso,1,,4.07502
baseline,Baseline T,1.0,4,gen=4_member=548_pso,1,,2.46477
baseline,Baseline T,1.0,4,gen=4_member=675_pso,1,,3.14381
baseline,Baseline T,1.0,4,gen=4_member=571_pso,1,,4.32473
baseline,Baseline T,1.0,4,gen=4_member=628_pso,1,,2.98343
baseline,Baseline T,1.0,4,gen=4_member=671_pso,1,,2.43432
baseline,Baseline T,1.0,4,gen=4_member=565_pso,1,,4.28799
baseline,Baseline T,1.0,5,152,1,,4.78258
baseline,Baseline T,1.0,5,gen=4_member=525_pso,2,,1.85232
baseline,Baseline T,1.0,5,gen=4_member=535_pso,2,,2.08426
baseline,Baseline T,1.0,5,16,1,,4.48927
baseline,Baseline T,1.0,5,gen=4_member=590_pso,1,,3.35846
baseline,Baseline T,1.0,5,gen=4_member=547_pso,1,,2.26532
baseline,Baseline T,1.0,5,gen=4_member=545_pso,2,,3.72701
baseline,Baseline T,1.0,5,gen=4_member=531_pso,2,,3.48502
baseline,Baseline T,1.0,5,gen=4_member=593_pso,1,,3.22592
baseline,Baseline T,1.0,5,130,1,,4.69071
baseline,Baseline T,1.0,5,gen=4_member=638_pso,2,,2.78195
baseline,Baseline T,1.0,5,gen=4_member=588_pso,2,,4.11085
baseline,Baseline T,1.0,5,gen=4_member=660_pso,2,,2.1457
baseline,Baseline T,1.0,5,gen=3_member=416_pso,1,,4.27673
baseline,Baseline T,1.0,5,gen=4_member=541_pso,2,,2.63598
baseline,Baseline T,1.0,5,gen=4_member=526_pso,2,,2.401
baseline,Baseline T,1.0,5,gen=4_member=591_pso,2,,3.5843
baseline,Baseline T,1.0,5,gen=4_member=619_pso,2,,2.84569
baseline,Baseline T,1.0,5,gen=3_member=376_pso,2,,3.86223
baseline,Baseline T,1.0,5,gen=4_member=648_pso,2,,2.5288
baseline,Baseline T,1.0,5,gen=4_member=659_pso,2,,3.02029
baseline,Baseline T,1.0,5,gen=4_member=530_pso,1,,3.63433
baseline,Baseline T,1.0,5,gen=3_member=366_pso,2,,2.92994
baseline,Baseline T,1.0,5,gen=3_member=478_pso,2,,3.96247
baseline,Baseline T,1.0,5,gen=4_member=669_pso,2,,3.13875
baseline,Baseline T,1.0,5,gen=4_member=581_pso,2,,2.60917
baseline,Baseline T,1.0,5,gen=4_member=564_pso,2,,3.87499
baseline,Baseline T,1.0,5,gen=4_member=661_pso,1,,4.37433
baseline,Baseline T,1.0,5,gen=4_member=563_pso,2,,4.07502
baseline,Baseline T,1.0,5,gen=4_member=548_pso,2,,2.46477
baseline,Baseline T,1.0,5,95,1,,4.70127
baseline,Baseline T,1.0,5,gen=4_member=675_pso,1,,3.14381
baseline,Baseline T,1.0,5,gen=4_member=571_pso,1,,4.32473
baseline,Baseline T,1.0,5,gen=2_member=235_pso,2,,4.01435
baseline,Baseline T,1.0,5,gen=4_member=628_pso,2,,2.98343
baseline,Baseline T,1.0,5,156,1,,4.4265
baseline,Baseline T,1.0,5,gen=4_member=671_pso,2,,2.43432
baseline,Baseline T,1.0,5,116,1,,4.42483
baseline,Baseline T,1.0,5,gen=1_member=171_pso,2,,4.00606
baseline,Baseline T,1.0,5,gen=4_member=565_pso,1,,4.28799
baseline,Baseline T,1.0,5,gen=3_member=493_pso,2,,2.99533
baseline,Baseline T,1.0,5,gen=5_member=717_pso,1,,1.19771
baseline,Baseline T,1.0,5,gen=5_member=707_pso,1,,1.69412
baseline,Baseline T,1.0,5,gen=5_member=789_pso,1,,3.89715
baseline,Baseline T,1.0,5,gen=5_member=695_pso,1,,4.06225
baseline,Baseline T,1.0,5,gen=5_member=706_pso,1,,2.44004
baseline,Baseline T,1.0,5,gen=5_member=804_pso,1,,2.69147
baseline,Baseline T,1.0,5,gen=5_member=806_pso,1,,2.95509
baseline,Baseline T,1.0,5,gen=5_member=832_pso,1,,1.9748
baseline,Baseline T,1.0,5,gen=5_member=715_pso,1,,3.67465
baseline,Baseline T,1.0,5,gen=5_member=728_pso,1,,2.8289
baseline,Baseline T,1.0,5,gen=5_member=796_pso,1,,3.08926
baseline,Baseline T,1.0,5,gen=5_member=799_pso,1,,1.81668
baseline,Baseline T,1.0,5,gen=5_member=749_pso,1,,3.5099
baseline,Baseline T,1.0,5,gen=5_member=744_pso,1,,2.73287
baseline,Baseline T,1.0,5,gen=5_member=730_pso,1,,2.05968
baseline,Baseline T,1.0,5,gen=5_member=704_pso,1,,2.22555
baseline,Baseline T,1.0,5,gen=5_member=741_pso,1,,3.48066
baseline,Baseline T,1.0,5,gen=5_member=733_pso,1,,1.78881
baseline,Baseline T,1.0,5,gen=5_member=829_pso,1,,2.32063
baseline,Baseline T,1.0,5,gen=5_member=702_pso,1,,2.38786
baseline,Baseline T,1.0,5,gen=5_member=786_pso,1,,2.13226
baseline,Baseline T,1.0,5,gen=5_member=800_pso,1,,3.28201
baseline,Baseline T,1.0,5,gen=5_member=708_pso,1,,3.32887
baseline,Baseline T,1.0,5,gen=5_member=828_pso,1,,2.1082
baseline,Baseline T,1.0,5,gen=5_member=716_pso,1,,3.67187
baseline,Baseline T,1.0,5,gen=5_member=821_pso,1,,3.48999
baseline,Baseline T,1.0,6,152,1,,4.78258
baseline,Baseline T,1.0,6,gen=5_member=717_pso,1,,1.19771
baseline,Baseline T,1.0,6,gen=5_member=707_pso,2,,1.69412
baseline,Baseline T,1.0,6,gen=5_member=789_pso,1,,3.89715
baseline,Baseline T,1.0,6,gen=5_member=695_pso,1,,4.06225
baseline,Baseline T,1.0,6,gen=5_member=706_pso,1,,2.44004
baseline,Baseline T,1.0,6,gen=5_member=804_pso,2,,2.69147
baseline,Baseline T,1.0,6,16,1,,4.48927
baseline,Baseline T,1.0,6,gen=5_member=806_pso,1,,2.95509
baseline,Baseline T,1.0,6,gen=5_member=832_pso,2,,1.9748
baseline,Baseline T,1.0,6,gen=3_member=416_pso,2,,4.27673
baseline,Baseline T,1.0,6,gen=5_member=715_pso,1,,3.67465
baseline,Baseline T,1.0,6,gen=5_member=728_pso,2,,2.8289
baseline,Baseline T,1.0,6,130,1,,4.69071
baseline,Baseline T,1.0,6,gen=5_member=796_pso,2,,3.08926
baseline,Baseline T,1.0,6,gen=5_member=799_pso,1,,1.81668
baseline,Baseline T,1.0,6,gen=4_member=530_pso,1,,3.63433
baseline,Baseline T,1.0,6,gen=4_member=590_pso,2,,3.35846
baseline,Baseline T,1.0,6,gen=5_member=749_pso,1,,3.5099
baseline,Baseline T,1.0,6,gen=4_member=593_pso,2,,3.22592
baseline,Baseline T,1.0,6,gen=5_member=744_pso,2,,2.73287
baseline,Baseline T,1.0,6,gen=4_member=675_pso,2,,3.14381
baseline,Baseline T,1.0,6,gen=5_member=730_pso,2,,2.05968
baseline,Baseline T,1.0,6,gen=5_member=704_pso,2,,2.22555
baseline,Baseline T,1.0,6,gen=5_member=741_pso,2,,3.48066
baseline,Baseline T,1.0,6,gen=5_member=733_pso,2,,1.78881
baseline,Baseline T,1.0,6,gen=5_member=829_pso,2,,2.32063
baseline,Baseline T,1.0,6,gen=5_member=702_pso,2,,2.38786
baseline,Baseline T,1.0,6,gen=5_member=786_pso,2,,2.13226
baseline,Baseline T,1.0,6,gen=5_member=800_pso,2,,3.28201
baseline,Baseline T,1.0,6,gen=4_member=661_pso,1,,4.37433
baseline,Baseline T,1.0,6,gen=4_member=547_pso,2,,2.26532
baseline,Baseline T,1.0,6,95,1,,4.70127
baseline,Baseline T,1.0,6,gen=4_member=571_pso,1,,4.32473
baseline,Baseline T,1.0,6,gen=5_member=708_pso,2,,3.32887
baseline,Baseline T,1.0,6,gen=5_member=828_pso,2,,2.1082
baseline,Baseline T,1.0,6,156,1,,4.4265
baseline,Baseline T,1.0,6,116,1,,4.42483
baseline,Baseline T,1.0,6,gen=4_member=565_pso,2,,4.28799
baseline,Baseline T,1.0,6,gen=5_member=716_pso,1,,3.67187
baseline,Baseline T,1.0,6,gen=5_member=821_pso,2,,3.48999
baseline,Baseline T,1.0,6,gen=6_member=879_pso,1,,1.7784
baseline,Baseline T,1.0,6,gen=6_member=944_pso,1,,1.43339
baseline,Baseline T,1.0,6,gen=6_member=911_pso,1,,2.0081
baseline,Baseline T,1.0,6,gen=6_member=1007_pso,1,,2.18874
baseline,Baseline T,1.0,6,gen=6_member=1005_pso,1,,1.42479
baseline,Baseline T,1.0,6,gen=6_member=955_pso,1,,2.79194
baseline,Baseline T,1.0,6,gen=6_member=969_pso,1,,4.17493
baseline,Baseline T,1.0,6,gen=6_member=921_pso,1,,2.63787
baseline,Baseline T,1.0,6,gen=6_member=1019_pso,1,,2.57265
baseline,Baseline T,1.0,6,gen=6_member=970_pso,1,,2.25854
baseline,Baseline T,1.0,6,gen=6_member=887_pso,1,,3.33589
baseline,Baseline T,1.0,6,gen=6_member=901_pso,1,,1.88704
baseline,Baseline T,1.0,6,gen=6_member=923_pso,1,,3.26014
baseline,Baseline T,1.0,6,gen=6_member=999_pso,1,,2.86704
baseline,Baseline T,1.0,6,gen=6_member=907_pso,1,,3.14655
baseline,Baseline T,1.0,6,gen=6_member=863_pso,1,,3.84191
baseline,Baseline T,1.0,6,gen=6_member=1004_pso,1,,3.11195
baseline,Baseline T,1.0,6,gen=6_member=884_pso,1,,3.01528
baseline,Baseline T,1.0,6,gen=6_member=930_pso,1,,3.75206
baseline,Baseline T,1.0,6,gen=6_member=900_pso,1,,3.72604
baseline,Baseline T,1.0,6,gen=6_member=878_pso,1,,4.10183
baseline,Baseline T,1.0,6,gen=6_member=872_pso,1,,3.32108
baseline,Baseline T,1.0,6,gen=6_member=912_pso,1,,1.83214
baseline,Baseline T,1.0,6,gen=6_member=997_pso,1,,2.25824
baseline,Baseline T,1.0,6,gen=6_member=1016_pso,1,,4.4236
baseline,Baseline T,1.0,6,gen=6_member=891_pso,1,,2.98952
baseline,Baseline T,1.0,6,gen=6_member=1009_pso,1,,4.10095
baseline,Baseline T,1.0,6,gen=6_member=1029_pso,1,,2.96678
baseline,Baseline T,1.0,6,gen=6_member=978_pso,1,,3.33385
baseline,Baseline T,1.0,7,152,1,,4.78258
baseline,Baseline T,1.0,7,gen=5_member=717_pso,1,,1.19771
baseline,Baseline T,1.0,7,gen=6_member=879_pso,2,,1.7784
baseline,Baseline T,1.0,7,gen=6_member=944_pso,1,,1.43339
baseline,Baseline T,1.0,7,gen=5_member=706_pso,2,,2.44004
