analysis,T_value,mean_streamflow_cfs,mean_depletion_cfs,mean_streamflow_change_from_baseline_cfs,mean_cost_metric_cfs,max_cost_metric_cfs
Known error: T −10%,1530.0,6.055204613688424,2.544795386311576,0.16070808609593978,0.0,0.0
Known error: T +10%,1870.0,5.743843736689145,2.856156263310856,-0.15065279090333927,0.15065279090334008,0.23582114900384354
Unknown T: probability-weighted,,5.8987434196654895,2.7012565803345105,0.004246892073004722,0.0553571282350882,0.0865737768595379
