scenario,scenario_label,T_factor,S_factor,diffusivity_factor,joint_probability_weight,n_members,mean_streamflow_cfs,mean_depletion_cfs,mean_streamflow_change_from_baseline_cfs,mean_depletion_change_from_baseline_cfs,mean_abs_streamflow_change_from_baseline_cfs,max_abs_streamflow_change_from_baseline_cfs
Tzplus0p00_Szminus1p00,"T 1.00, S 0.90",1.0,0.9,1.1111111111111112,0.09832033134884577,296,5.667065457784903,2.9329345422150963,-0.18401402415730894,0.18401402415730894,0.18401402415730894,0.26073383554099827
Tzplus0p00_Szplus0p00,"T 1.00, S 1.00",1.0,1.0,1.0,0.16210282163712664,296,5.851079481942212,2.7489205180577874,0.0,0.0,0.0,0.0
Tzplus0p00_Szplus1p00,"T 1.00, S 1.10",1.0,1.1,0.9090909090909091,0.09832033134884577,296,6.0110696909917465,2.588930309008253,0.1599902090495342,-0.15999020904953418,0.1599902090495342,0.23012967055831357
Tzplus0p00_Szplus2p00,"T 1.00, S 1.20",1.0,1.2,0.8333333333333334,0.021938231279714643,296,6.151669822239431,2.4483301777605684,0.30059034029721926,-0.30059034029721926,0.30059034029721926,0.4351532646794425
Tzplus1p00_Szminus2p00,"T 1.10, S 0.80",1.1,0.8,1.375,0.013306209891013653,296,5.27267887082373,3.3273211291762688,-0.5784006111184813,0.5784006111184813,0.5784006111184813,0.8063590087414378
Tzplus1p00_Szminus1p00,"T 1.10, S 0.90",1.1,0.9,1.2222222222222223,0.05963429543618014,296,5.494289986969011,3.1057100130309894,-0.35678949497320184,0.3567894949732019,0.35678949497320184,0.5019792268653607
Tzplus1p00_Szplus0p00,"T 1.10, S 1.00",1.1,1.0,1.1,0.09832033134884577,296,5.6849371820200165,2.915062817979984,-0.16614229992219648,0.16614229992219648,0.16614229992219648,0.23562276411572647
Tzplus1p00_Szplus1p00,"T 1.10, S 1.10",1.1,1.1,1.0,0.05963429543618014,296,5.851079481942212,2.748920518057788,-2.41548522925203e-16,2.306713378866457e-16,1.4207854112432746e-15,5.329070518200751e-15
Tzplus1p00_Szplus2p00,"T 1.10, S 1.20",1.1,1.2,0.9166666666666667,0.013306209891013653,296,5.997385628024002,2.602614371975998,0.1463061460817895,-0.1463061460817895,0.14630614608178952,0.2103258040777014
Tzplus2p00_Szminus2p00,"T 1.20, S 0.80",1.2,0.8,1.4999999999999998,0.0029690167439504977,296,5.103327948945705,3.4966720510542944,-0.7477515329965068,0.7477515329965069,0.7477515329965069,1.0348690549905628
Tzplus2p00_Szminus1p00,"T 1.20, S 0.90",1.2,0.9,1.3333333333333333,0.013306209891013653,296,5.331433255877238,3.2685667441227615,-0.5196462260649742,0.5196462260649742,0.5196462260649742,0.7260554330990381
Tzplus2p00_Szplus0p00,"T 1.20, S 1.00",1.2,1.0,1.2,0.021938231279714643,296,5.528011044574976,3.071988955425024,-0.3230684373672366,0.32306843736723667,0.3230684373672366,0.4551552999158579
Tzplus2p00_Szplus1p00,"T 1.20, S 1.10",1.2,1.1,1.0909090909090908,0.013306209891013653,296,5.699644313403766,2.9003556865962343,-0.1514351685384467,0.15143516853844674,0.1514351685384467,0.2149124616992868
Tzplus2p00_Szplus2p00,"T 1.20, S 1.20",1.2,1.2,1.0,0.0029690167439504977,296,5.851079481942212,2.748920518057788,-1.9053827584783092e-16,1.9391395396324526e-16,1.6158245912449914e-15,5.329070518200751e-15
