statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,108.4129615869442,3.200408616583667,5.3995913834163325,baseline
std,6.127039090518631,1.0195477596848168,1.0195477596848168,baseline
25%,103.37882301305207,2.2072266756013437,4.547762749531694,baseline
50%,110.54894819754367,3.189037327574257,5.410962672425743,baseline
75%,113.33234219487721,4.0522372504683055,6.3927733243986555,baseline
max,117.4156574423775,5.25392404556238,7.108670306111384,baseline
mean,108.4129615869442,3.381715208374724,5.218284791625276,Tplus10per
std,6.127039090518631,1.0636004799592542,1.063600479959254,Tplus10per
25%,103.37882301305207,2.3423899274635627,4.328229367148503,Tplus10per
50%,110.54894819754367,3.376532929101531,5.223467070898469,Tplus10per
75%,113.33234219487721,4.271770632851497,6.257610072536437,Tplus10per
max,117.4156574423775,5.516386279898592,7.014089057406262,Tplus10per
mean,108.4129615869442,3.0074991250429157,5.592500874957084,Tmin10per
std,6.127039090518631,0.9716034023756552,0.9716034023756552,Tmin10per
25%,103.37882301305207,2.0643291058599536,4.782083375477157,Tmin10per
50%,110.54894819754367,2.9896740740515075,5.6103259259484926,Tmin10per
75%,113.33234219487721,3.817916624522843,6.535670894140046,Tmin10per
max,117.4156574423775,4.972829215102621,7.207579286593793,Tmin10per
