member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=47_member=5907_pso,baseline,1.0,94.52947087594232,1.5172630245826682,lpr:total_combined:bdpl,7.0827369754173315
56,baseline,1.0,117.27557653095815,5.25392404556238,lpr:total_combined:bdpl,3.3460759544376195
64,baseline,1.0,116.39420226778138,4.888296068972581,lpr:total_combined:bdpl,3.7117039310274187
gen=40_member=5105_pso,baseline,1.0,115.56391478569483,4.927769278641827,lpr:total_combined:bdpl,3.672230721358173
30,baseline,1.0,116.27315743031428,5.1249136072716865,lpr:total_combined:bdpl,3.475086392728313
gen=36_member=4531_pso,baseline,1.0,113.74613846825608,4.445039688645986,lpr:total_combined:bdpl,4.154960311354014
105,baseline,1.0,116.58488216275708,5.026515567716369,lpr:total_combined:bdpl,3.5734844322836308
gen=49_member=6222_pso,baseline,1.0,113.86456508053426,4.332368924718632,lpr:total_combined:bdpl,4.2676310752813675
18,baseline,1.0,116.27397312519078,4.998859337539977,lpr:total_combined:bdpl,3.601140662460023
35,baseline,1.0,117.4156574423775,5.24384027406732,lpr:total_combined:bdpl,3.35615972593268
gen=44_member=5567_pso,baseline,1.0,95.7796865465024,1.5736970225568876,lpr:total_combined:bdpl,7.0263029774431125
gen=49_member=6144_pso,baseline,1.0,93.87032135886885,1.4913296938886154,lpr:total_combined:bdpl,7.108670306111384
gen=46_member=5849_pso,baseline,1.0,100.75129470860479,2.0292974497272542,lpr:total_combined:bdpl,6.570702550272745
gen=31_member=3852_pso,baseline,1.0,113.2038473463062,4.1089606469781454,lpr:total_combined:bdpl,4.491039353021854
gen=37_member=4697_pso,baseline,1.0,95.64793271636529,1.5695324581061085,lpr:total_combined:bdpl,7.030467541893891
gen=42_member=5264_pso,baseline,1.0,115.23581890516918,4.826654595871553,lpr:total_combined:bdpl,3.773345404128446
gen=43_member=5399_pso,baseline,1.0,112.87509962484872,3.7678770317879757,lpr:total_combined:bdpl,4.832122968212024
