,LPR
418,0.004682951718309081
466,0.2681637419627078
467,0.20123579727010885
490,5.0031774159423135e-12
509,2.75348487774215e-07
602,5.179374008667257e-15
603,2.7282326160175695e-15
798,4.5746766526036594e-08
807,0.00026425843638993777
850,6.372608115133716e-06
862,6.120902270615761e-05
1013,1.6517859982895221e-09
1302,1.6806711027285054e-09
1323,4.21073325481582e-05
1486,0.005356916316797321
1584,0.028171423794841
1589,7.87494789252543e-07
1643,4.866710403700722e-05
1683,6.333792589817051e-08
1860,7.335424890784775e-05
2544,0.0005013113311308522
2750,1.3532110183666162e-06
2886,0.03460141263262048
3473,2.046790671527234e-06
3949,0.0023467020871096914
4171,3.3903847465445534e-05
23610,0.00043092733987368687
23611,0.021464645995614127
23618,0.002679164931375665
23620,4.77642056037708e-08
23627,0.24161688318744676
23629,0.0002102699700636745
23630,0.00015145785383884072
23631,0.00018154540631542174
23635,4.951253252877358e-08
23637,8.35545134467429e-06
23638,0.04293811000747286
23639,0.004585723524288447
23645,0.05525669361762867
23646,0.04809816215232023
23648,3.6525951955664876e-08
23653,0.22853780970319956
23695,9.851686555682784e-06
23697,1.45658609892535e-11
23698,3.4184582026671007e-10
23699,8.412317972859222e-08
23700,8.572091191856803e-08
23709,8.582875139572173e-06
23710,4.807354314678724e-07
23715,0.0001114984602626976
23716,5.211278168466534e-05
23720,0.005922082986492369
23721,0.004813930582524756
23722,0.000385271317654952
23723,0.000610059118813423
23726,1.2031309942030063e-05
23727,1.0421181531139303e-05
23728,0.0001413113686862745
23729,0.00025900427023475635
23751,2.3940524449855615e-05
23752,0.025598765331456025
23753,0.007203919001863149
23754,1.1129558427960204e-08
23755,0.2745357106281013
23756,1.2830566197980576e-05
23757,3.414005670525234e-05
23758,0.00013140621043143455
23770,0.07926944545171298
23776,4.029462277000049e-05
23778,9.011029457571184e-05
23781,0.029675870972018282
23790,0.00028848606272808115
23791,0.0002955066885898053
23794,0.036641803749804976
23795,1.525610752559679e-06
23798,0.001622624212888445
23800,0.016478569899625917
23807,8.834363127680174e-06
23816,0.06715685790521429
23818,2.904084018674971e-07
23820,2.500059380282982e-05
23823,2.6855040333540045e-05
23836,0.14776522543185663
23837,0.026597348594376416
23846,0.00015319222865316017
23847,0.007976932103097594
23848,0.005316034726377292
23851,0.021047522673943064
23864,0.0009975005847730237
23865,0.0006289724028406663
23866,2.6571761057365945e-05
23867,3.4554712437978497e-07
23868,1.1243863401308426e-06
23869,2.772504241907888e-07
23870,6.001394721747643e-07
23876,0.08187520850631143
23881,0.005428373406482764
23883,1.13679270258491e-07
23886,2.542759311911787e-05
23888,0.013165598586517337
23889,0.022716586601411164
23890,1.4634085594138193e-05
23895,0.0004355118387454676
23898,1.2961285304396477e-06
23908,0.005235767607993662
23909,0.0031799589639321594
23910,0.0001672691848922889
23913,1.621331441450197e-11
23915,4.453110964636175e-09
23919,0.027881073200288934
23926,8.08682256304294e-06
23928,0.0026160434272961323
23929,0.0016737856120096386
23930,0.002120873684700265
23934,0.2787038153422619
23936,0.022338833940218603
23937,0.005818030341204542
23939,0.04567288358963986
23942,0.00010750796466906514
23944,2.5131372419333172e-06
23948,0.0022372581983279645
23956,0.00021196228713611003
23961,7.393114495652448e-13
23962,6.355621927965961e-05
23963,2.7527214443822657e-06
23966,1.1341324238518073e-06
23967,3.736680541528571e-05
23972,0.00025382799412137765
23977,0.002461737311367486
23978,1.849423135375684e-10
23979,4.43155814450945e-07
23980,4.365248339999847e-06
23981,0.006470613554480157
23983,0.00019599709108802013
23984,0.0015879092396444596
23985,0.006900888530375449
23987,0.0004045506517808095
23998,2.9917696128716644e-06
24003,0.0007140472026704027
24005,0.001230021027292278
24010,0.0002987672904015234
24011,0.013512919908702672
24012,2.9701747178834394e-05
24016,5.5600626519734194e-05
24024,3.851702014923507e-07
24030,0.00014934611288607526
24033,0.00010281693389236496
24036,2.0079566205917993e-06
24037,5.374935735468744e-09
24042,2.715169721516382e-05
24043,6.297897358972701e-08
24045,0.021066300924115294
24047,0.00016320089605703625
24049,0.0030665233839147904
24059,1.711797098624044e-05
24063,0.0003662989216989977
24066,1.1045835771002451e-08
24080,9.085054011706562e-06
24091,3.094002510904963e-05
24093,1.8969961112450146e-05
24110,6.3892631584194214e-06
24120,4.216688234068989e-06
24121,0.000837505988875135
24125,0.006617533133822017
24130,1.3901130585129437e-05
24135,4.7873504763002325e-05
24137,0.01717209021111803
24165,0.00046166524647643994
24166,0.000302987210904087
24169,1.0971504585118147e-08
24172,0.0005680979179730598
24195,2.986667320046539e-08
24197,0.013183498145941934
24203,0.04326972787383049
24216,1.290730789331373e-07
24225,0.0010635846944274106
24226,4.7579405463122976e-05
24227,0.001262953511870099
24239,0.11689342225958634
24240,4.0133063096377795e-06
24247,1.2353402129759433e-05
24249,4.3245566092695095e-06
24252,4.991592831832026e-05
24253,5.2246662145349316e-06
24256,1.4025675689980652e-05
24265,2.8390167449126848e-05
24266,0.0005823896798057532
24274,0.009969448950188977
24279,0.0011570221491787448
24283,0.0023362077793600347
24285,1.0275778907386218e-08
24286,1.3522183586733399e-08
24291,0.0033908045499553147
24293,0.0005414161525310462
24294,1.0140189427654345e-08
24302,5.875413117064837e-11
24305,6.361308385995279e-15
24307,0.0002743220332679179
24311,0.0011214610098904097
24317,0.00010847274555281689
24323,0.11356488724750968
58403,0.00034542690324779413
58405,0.20640319028563592
58406,0.003695634765732611
58407,0.00441087532302048
58410,0.0012754794591696272
58411,9.881927757760725e-05
58414,4.912350187702825e-05
58416,1.3350417354794365e-05
58424,2.0463345388231565e-05
58433,0.001590321828593695
58434,1.971431377489288e-07
67673,0.00017328019090231557
67895,1.1648247364038827e-09
68008,0.0007443794186076943
68216,1.1839902550097897e-12
68218,3.1709222756366525e-13
68219,2.159367598773615e-12
68220,5.083517733408572e-12
68221,1.9000504431606344e-11
68294,1.0866183590646196e-15
68475,0.003747415968350353
68529,0.1918026134746118
68693,2.450943415040012e-07
68695,2.2804069137794437e-06
68872,2.702691563134187e-05
68917,1.1242420749944247e-07
68925,9.09244175823431e-05
68926,0.00043633602264978385
69049,0.03905055416065077
69065,0.00015264060550830458
69282,0.007628156940716718
69288,1.9015984871651853e-09
69289,8.065240053559546e-09
69480,1.4019695285254754e-06
69508,3.800846763711818e-12
69576,6.702981867002111e-08
69635,1.287916787583007e-09
69636,4.581477281898274e-10
69638,1.073310774679526e-10
69669,1.1700153046568702e-14
69970,0.02510474999567359
69990,6.492887460942134e-05
70119,0.02358407824825554
70120,0.02521362423968883
70186,0.02073570551808047
70191,1.931223180177792e-07
70263,2.921313972157934e-10
70517,6.394405618270943e-11
70519,5.663700746260807e-10
70520,1.3081516432922238e-10
70548,6.177704512902434e-11
70881,0.0023335042344333127
70961,1.7373099078906985e-07
70974,4.573352080064609e-08
70975,8.023424701867736e-09
71044,0.0146108199632918
71062,1.5215978596333414e-05
71063,0.0002746339026536647
71109,0.014081992069538397
71110,0.00921953938214561
71117,5.7873899368350624e-08
71156,2.3842571159771446e-06
71199,1.1736023020280528e-06
71495,0.0002879328297735262
71935,0.000554038485050579
71998,8.331434481063741e-10
72082,0.00011856958966939432
72094,6.48470311261795e-06
72095,5.307248256683558e-06
72269,0.0003976650391353216
72301,1.509155205156045e-07
72304,1.0965021446677332e-06
72421,2.1476583295704514e-14
72422,6.037917726295055e-13
72436,2.738876880228215e-07
72437,2.039131189242537e-06
72607,0.0002604071548562744
72610,0.002255559232555263
72713,0.00042619513465735507
