member,S_factor__baseline_storage,S_factor__storage_minus_10pct,S_factor__storage_plus_10pct,S_value__baseline_storage,S_value__storage_minus_10pct,S_value__storage_plus_10pct,absolute_depletion_error_cfs__baseline_storage,absolute_depletion_error_cfs__storage_minus_10pct,absolute_depletion_error_cfs__storage_plus_10pct,absolute_streamflow_error_cfs__baseline_storage,absolute_streamflow_error_cfs__storage_minus_10pct,absolute_streamflow_error_cfs__storage_plus_10pct,base_parameter_value__baseline_storage,base_parameter_value__storage_minus_10pct,base_parameter_value__storage_plus_10pct,depletion_cfs__baseline_storage,depletion_cfs__storage_minus_10pct,depletion_cfs__storage_plus_10pct,depletion_change_from_baseline_cfs__baseline_storage,depletion_change_from_baseline_cfs__storage_minus_10pct,depletion_change_from_baseline_cfs__storage_plus_10pct,full_model_total_pumping_cfs__baseline_storage,full_model_total_pumping_cfs__storage_minus_10pct,full_model_total_pumping_cfs__storage_plus_10pct,parameter_factor__baseline_storage,parameter_factor__storage_minus_10pct,parameter_factor__storage_plus_10pct,parameter_value__baseline_storage,parameter_value__storage_minus_10pct,parameter_value__storage_plus_10pct,pumping_objective_reeval_cfs__baseline_storage,pumping_objective_reeval_cfs__storage_minus_10pct,pumping_objective_reeval_cfs__storage_plus_10pct,streamflow_cfs__baseline_storage,streamflow_cfs__storage_minus_10pct,streamflow_cfs__storage_plus_10pct,streamflow_change_from_baseline_cfs__baseline_storage,streamflow_change_from_baseline_cfs__storage_minus_10pct,streamflow_change_from_baseline_cfs__storage_plus_10pct,streamflow_shortfall_below_baseline_cfs__baseline_storage,streamflow_shortfall_below_baseline_cfs__storage_minus_10pct,streamflow_shortfall_below_baseline_cfs__storage_plus_10pct,pumping_objective_reeval_cfs
130,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.25699084166488895,0.22658094530078543,0.0,0.25699084166488895,0.22658094530078543,0.12,0.12,0.12,4.690710603433739,4.947701445098628,4.464129658132953,0.0,0.25699084166488895,-0.22658094530078543,117.21267497795708,117.21267497795708,117.21267497795708,1.0,0.9,1.1,0.12,0.108,0.132,38.60014577795708,38.60014577795708,38.60014577795708,3.909289396566261,3.652298554901372,4.135870341867046,0.0,-0.25699084166488895,0.22658094530078543,0.0,0.25699084166488895,0.0,38.60014577795708
152,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.26073383554099827,0.23012967055831357,0.0,0.26073383554099827,0.23012967055831357,0.12,0.12,0.12,4.782582221327709,5.043316056868707,4.552452550769395,0.0,0.26073383554099827,-0.23012967055831357,117.6979706587126,117.6979706587126,117.6979706587126,1.0,0.9,1.1,0.12,0.108,0.132,39.0854414587126,39.0854414587126,39.0854414587126,3.817417778672291,3.5566839431312927,4.0475474492306045,0.0,-0.26073383554099827,0.23012967055831357,0.0,0.26073383554099827,0.0,39.0854414587126
156,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.24695784683994226,0.21743394501111712,0.0,0.24695784683994226,0.21743394501111712,0.12,0.12,0.12,4.42649581404381,4.6734536608837525,4.209061869032693,0.0,0.24695784683994226,-0.21743394501111712,116.22632159712806,116.22632159712806,116.22632159712806,1.0,0.9,1.1,0.12,0.108,0.132,37.61379239712806,37.61379239712806,37.61379239712806,4.173504185956189,3.926546339116247,4.390938130967307,0.0,-0.24695784683994226,0.21743394501111712,0.0,0.24695784683994226,0.0,37.61379239712806
16,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.2518642550927206,0.22181250189408264,0.0,0.2518642550927206,0.22181250189408264,0.12,0.12,0.12,4.489273592740293,4.741137847833014,4.2674610908462105,0.0,0.2518642550927206,-0.22181250189408264,117.08005790631736,117.08005790631736,117.08005790631736,1.0,0.9,1.1,0.12,0.108,0.132,38.46752870631738,38.46752870631738,38.46752870631738,4.1107264072597065,3.858862152166986,4.332538909153789,0.0,-0.2518642550927206,0.22181250189408264,0.0,0.2518642550927206,0.0,38.46752870631738
95,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.2602743001772172,0.2293625218134281,0.0,0.26027430017721676,0.22936252181342986,0.12,0.12,0.12,4.701268362481829,4.961542662659046,4.471905840668401,0.0,0.2602743001772172,-0.2293625218134281,117.51321058512151,117.51321058512151,117.51321058512151,1.0,0.9,1.1,0.12,0.108,0.132,38.90068138512153,38.90068138512153,38.90068138512153,3.8987316375181695,3.638457337340953,4.128094159331599,0.0,-0.26027430017721676,0.22936252181342986,0.0,0.26027430017721676,0.0,38.90068138512153
gen=18_member=3072_pso,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.24592578713772273,0.21657689430970262,0.0,0.24592578713772273,0.21657689430970262,0.12,0.12,0.12,4.379123996722136,4.6250497838598585,4.162547102412433,0.0,0.24592578713772273,-0.21657689430970262,115.76743606727383,115.76743606727383,115.76743606727383,1.0,0.9,1.1,0.12,0.108,0.132,37.15490686727385,37.15490686727385,37.15490686727385,4.220876003277864,3.974950216140141,4.4374528975875664,0.0,-0.24592578713772273,0.21657689430970262,0.0,0.24592578713772273,0.0,37.15490686727385
gen=20_member=3413_pso,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.1750441314372546,0.15107082835956076,0.0,0.1750441314372546,0.15107082835956032,0.12,0.12,0.12,2.476442307505919,2.6514864389431736,2.3253714791463582,0.0,0.1750441314372546,-0.15107082835956076,111.5671413174655,111.5671413174655,111.5671413174655,1.0,0.9,1.1,0.12,0.108,0.132,32.95461211746549,32.95461211746549,32.95461211746549,6.123557692494081,5.948513561056826,6.274628520853641,0.0,-0.1750441314372546,0.15107082835956032,0.0,0.1750441314372546,0.0,32.95461211746549
gen=22_member=3634_pso,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.182854504308271,0.15829598229860453,0.0,0.18285450430827055,0.15829598229860498,0.12,0.12,0.12,2.6349586355249133,2.8178131398331843,2.4766626532263087,0.0,0.182854504308271,-0.15829598229860453,112.1000439296572,112.1000439296572,112.1000439296572,1.0,0.9,1.1,0.12,0.108,0.132,33.48751472965719,33.48751472965719,33.48751472965719,5.965041364475086,5.782186860166815,6.123337346773691,0.0,-0.18285450430827055,0.15829598229860498,0.0,0.18285450430827055,0.0,33.48751472965719
gen=24_member=4008_pso,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.18749162682972687,0.16242420644156041,0.0,0.18749162682972642,0.16242420644156041,0.12,0.12,0.12,2.7196924545351737,2.9071840813649006,2.5572682480936133,0.0,0.18749162682972687,-0.16242420644156041,112.3794900769146,112.3794900769146,112.3794900769146,1.0,0.9,1.1,0.12,0.108,0.132,33.76696087691461,33.76696087691461,33.76696087691461,5.8803075454648255,5.692815918635099,6.042731751906386,0.0,-0.18749162682972642,0.16242420644156041,0.0,0.18749162682972642,0.0,33.76696087691461
gen=26_member=4423_pso,1.0,0.9,1.1,0.12,0.108,0.132,0.0,0.17333049159019565,0.1495649014160989,0.0,0.1733304915901952,0.1495649014160989,0.12,0.12,0.12,2.4442324503270694,2.617562941917265,2.2946675489109705,0.0,0.17333049159019565,-0.1495649014160989,111.43882795416609,111.43882795416609,111.43882795416609,1.0,0.9,1.1,0.12,0.108,0.132,32.826298754166096,32.826298754166096,32.826298754166096,6.15576754967293,5.982437058082735,6.305332451089029,0.0,-0.1733304915901952,0.1495649014160989,0.0,0.1733304915901952,0.0,32.826298754166096
