member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
152,39.0854414587126,3.817417778672291,4.782582221327709,3.804529342247905,4.7954706577520945,-0.012888436424385752,0.012888436424385752,0.1815047705700278,0.18150477057002787,0.09719660349720669,0.09719660349720667,0.22676310377146572,0.22676310377146572,3.3339652871192156,3.7673836800191634,4.1227784258732365,4.395765398487554,4.734843316585269,5.145543339537007
gen=36_member=6021_pso,15.730428646974955,7.788916635028518,0.8110833649714815,7.783924929629041,0.8160750703709585,-0.00499170539947702,0.00499170539947702,0.05425615590139965,0.05425615590139962,0.029623930650438387,0.029623930650438335,0.06796440788702593,0.06796440788702594,7.639769648560457,7.773870218527691,7.877760042447909,0.6992306926197378,0.7969751782714761,0.922183577510271
16,38.46752870631738,4.1107264072597065,4.489273592740293,4.098079400897982,4.501920599102018,-0.012647006361724777,0.012647006361724777,0.17515374761601213,0.17515374761601224,0.09390037698886838,0.09390037698886855,0.21886474156624583,0.21886474156624586,3.643294825767191,4.06245031419369,4.4049390599600775,4.116723277917281,4.443221344556502,4.840053380803397
130,38.60014577795708,3.909289396566261,4.690710603433739,3.8964880937466386,4.703511906253362,-0.012801302819622329,0.012801302819623217,0.1788092226683646,0.17880922266836455,0.09580526274399347,0.09580526274399354,0.22339559405710174,0.22339559405710172,3.4326909053159427,3.859963504061162,4.2098731737978365,4.310093873283036,4.643656997665953,5.048520031504297
95,38.90068138512153,3.8987316375181695,4.701268362481829,3.885646389169196,4.714353610830804,-0.013085248348973622,0.01308524834897451,0.18099988101839148,0.1809998810183916,0.09704256468368261,0.09704256468368305,0.22613816127125394,0.22613816127125397,3.416024911327311,3.848729698315064,4.202785849447016,4.316245435998362,4.653715838142923,5.063675759143717
156,37.61379239712806,4.173504185956189,4.42649581404381,4.161080053010483,4.438919946989517,-0.012424132945706212,0.0124241329457071,0.1717344865166188,0.1717344865166188,0.09207930973116285,0.09207930973116285,0.21458265813478217,0.2145826581347822,3.7151483842141166,4.126142116454609,4.461894395191626,4.061362048220686,4.3813125955867935,4.770467052095734
gen=47_member=7948_pso,28.52993245450245,7.029701362701273,1.5702986372987264,7.021726720915495,1.5782732790845044,-0.007974641785777337,0.007974641785778003,0.09080078277826306,0.09080078277826313,0.04938771228202031,0.04938771228202046,0.11368392158121604,0.11368392158121608,6.7816003482997695,7.004545675112682,7.179208965151829,1.3818218488375391,1.5466402105846515,1.7553612359219557
gen=48_member=8161_pso,24.508282368015493,7.429739108582357,1.1702608914176431,7.423012409137357,1.176987590862643,-0.0067266994450001505,0.0067266994449999284,0.07897254537146202,0.07897254537146205,0.042849622408231015,0.042849622408230925,0.0988156434248425,0.09881564342484253,7.215008531304722,7.407857763137508,7.560198641060742,1.005724387486217,1.149646393162263,1.3307146687060276
gen=33_member=5661_pso,36.89173247767671,4.384245798156488,4.215754201843512,4.3719844717252965,4.228015528274704,-0.012261326431191932,0.012261326431191932,0.1671576768833037,0.16715767688330374,0.0897095016572482,0.08970950165724786,0.20887944248921472,0.20887944248921478,3.937625547590922,4.338072899856742,4.664669424428118,3.860739152700646,4.171864430649762,4.550882566056445
gen=47_member=7921_pso,37.029124549782175,4.328992385422142,4.271007614577858,4.31665815884169,4.28334184115831,-0.012334226580451357,0.012334226580452246,0.16793465017526155,0.1679346501752615,0.09013443837785678,0.09013443837785674,0.20984808811877473,0.2098480881187746,3.8802138924606946,4.282606857484198,4.61064376214815,3.914449579548053,4.226882061635187,4.6077359124870165
