pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
pumping,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
decvars,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
