scenario,T_factor,T_value,n_members,mean_effective_total_pumping_cfs,mean_depletion_cfs,mean_streamflow_cfs,mean_streamflow_change_from_baseline_cfs,mean_absolute_streamflow_error_cfs,max_absolute_streamflow_error_cfs,mean_streamflow_shortfall_below_baseline_cfs,max_streamflow_shortfall_below_baseline_cfs
T_minus_10pct,0.9,1530.0,174,107.28840482241893,2.544795386311576,6.055204613688424,0.16070808609593884,0.16070808609593884,0.2541554283586489,0.0,0.0
baseline_T,1.0,1700.0,174,107.28840482241893,2.7055034724075155,5.8944965275924845,0.0,0.0,0.0,0.0,0.0
T_plus_10pct,1.1,1870.0000000000002,174,107.28840482241893,2.8561562633108557,5.743843736689145,-0.1506527909033401,0.1506527909033401,0.23582114900384354,0.1506527909033401,0.23582114900384354
