real_name,total_pumping_cfs,streamflow_cfs,depletion_cfs,scenario,source_file
gen=34_member=4254_pso,109.37481145404622,6.032010509780402,2.5679894902195968,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5867_pso,103.53414421241396,6.621398329313642,1.9786016706863567,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3915_pso,113.00374297232716,4.938415876596944,3.6615841234030553,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5976_pso,104.56249275210423,6.509666480452935,2.090333519547064,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4925_pso,110.58568020360347,5.864297639424465,2.7357023605755346,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4494_pso,96.85143693042826,7.018007183744514,1.5819928162554864,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5537_pso,98.6574193960521,6.924414477278655,1.675585522721344,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5774_pso,113.69912185042058,4.799183081404656,3.800816918595344,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4723_pso,104.51821829993284,6.565250283271652,2.034749716728347,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5711_pso,98.88372203694126,6.922030430058356,1.677969569941643,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3643_pso,102.35385246307234,6.707143575449283,1.8928564245507165,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=28_member=3493_pso,111.9863428334898,5.509193157700887,3.090806842299113,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4935_pso,103.94575675561089,6.578688224468146,2.0213117755318537,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5540_pso,114.24062085923713,4.40229865627693,4.19770134372307,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5321_pso,111.78648614600374,5.562457044642888,3.037542955357112,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4882_pso,99.87513479569049,6.868835712746872,1.7311642872531274,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4970_pso,111.96940359624068,5.4665230603289645,3.133476939671035,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=32_member=3991_pso,113.67330393858845,4.741201190189233,3.858798809810767,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4713_pso,113.25772935035332,4.874968694613963,3.725031305386037,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5214_pso,111.63288578333945,5.678232495101188,2.921767504898812,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5902_pso,102.73348980575346,6.696482935204916,1.903517064795084,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5714_pso,110.83641056276991,5.6416380971052575,2.9583619028947417,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5725_pso,94.92484395972832,7.100423713310399,1.4995762866896,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5219_pso,100.4892788980953,6.8343421785477325,1.765657821452267,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4779_pso,106.56349128989484,6.369252095378082,2.2307479046219183,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4891_pso,114.03279585529302,4.466077227336892,4.133922772663108,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4772_pso,104.91361673111813,6.530701134798303,2.069298865201697,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5263_pso,114.2231090729247,4.405982573321649,4.194017426678351,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5076_pso,109.05372553233512,6.093083193464476,2.506916806535524,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6161_pso,95.0212236982621,7.092878224299081,1.5071217757009188,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5437_pso,110.0371554586528,5.935846268146571,2.6641537318534287,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
